id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW182,PSID3,1,1,1,1.0,41,0.0038004580419510603
NSW183,PSID6,1,1,1,1.0,41,0.0038004580419510603
NSW172,PSID41,1,1,1,1.0,41,0.0038004580419510603
NSW184,PSID5,1,1,1,1.0,41,0.0038004580419510603
NSW181,PSID59,1,1,1,1.0,41,0.0038004580419510603
NSW163,PSID27,1,1,1,1.0,41,0.0038004580419510603
NSW185,PSID1,1,1,1,1.0,41,0.0038004580419510603
NSW175,PSID300,1,1,1,1.0,41,0.0038004580419510603
NSW129,PSID76,1,1,1,1.0,16,0.002647374989464879
NSW177,PSID95,1,1,1,1.0,16,0.002647374989464879
NSW167,PSID114,1,1,1,1.0,16,0.002647374989464879
NSW152,PSID99,1,1,1,1.0,7,0.0022782080341130495
NSW156,PSID69,1,1,1,1.0,7,0.0022782080341130495
NSW142,PSID217,1,1,1,1.0,7,0.0022782080341130495
NSW134,PSID93,1,1,1,1.0,57,0.002238832996226847
NSW180,PSID66,1,1,1,1.0,57,0.002238832996226847
NSW173,PSID17,1,1,1,1.0,57,0.002238832996226847
NSW158,PSID110,1,1,1,1.0,188,0.01005912502296269
NSW83,PSID361,1,1,1,1.0,188,0.01005912502296269
NSW157,PSID140,1,1,1,1.0,188,0.01005912502296269
NSW39,PSID238,1,1,1,1.0,188,0.01005912502296269
NSW32,PSID419,1,1,1,1.0,188,0.01005912502296269
NSW72,PSID412,1,1,1,1.0,188,0.01005912502296269
NSW166,PSID89,1,1,1,1.0,188,0.01005912502296269
NSW22,PSID410,1,1,1,1.0,188,0.01005912502296269
NSW69,PSID354,1,1,1,1.0,188,0.01005912502296269
NSW150,PSID134,1,1,1,1.0,188,0.01005912502296269
NSW168,PSID96,1,1,1,1.0,188,0.01005912502296269
NSW179,PSID72,1,1,1,1.0,188,0.01005912502296269
NSW23,PSID224,1,1,1,1.0,188,0.01005912502296269
NSW57,PSID400,1,1,1,1.0,188,0.01005912502296269
NSW49,PSID333,1,1,1,1.0,188,0.01005912502296269
NSW79,PSID226,1,1,1,1.0,188,0.01005912502296269
NSW68,PSID247,1,1,1,1.0,188,0.01005912502296269
NSW140,PSID180,1,1,1,1.0,188,0.01005912502296269
NSW144,PSID326,1,1,1,1.0,188,0.01005912502296269
NSW139,PSID159,1,1,1,1.0,188,0.01005912502296269
NSW58,PSID420,1,1,1,1.0,188,0.01005912502296269
NSW147,PSID157,1,1,1,1.0,188,0.01005912502296269
