id,match_id,match_round,treated_k,control_usage_count,pair_weight
NSW182,PSID3,1,1,1,1.0
NSW183,PSID6,1,1,1,1.0
NSW172,PSID41,1,1,1,1.0
NSW184,PSID5,1,1,1,1.0
NSW181,PSID59,1,1,1,1.0
NSW163,PSID27,1,1,1,1.0
NSW185,PSID1,1,1,1,1.0
NSW175,PSID300,1,1,1,1.0
NSW129,PSID76,1,1,1,1.0
NSW177,PSID95,1,1,1,1.0
NSW167,PSID114,1,1,1,1.0
NSW152,PSID99,1,1,1,1.0
NSW156,PSID69,1,1,1,1.0
NSW142,PSID217,1,1,1,1.0
NSW134,PSID93,1,1,1,1.0
NSW180,PSID66,1,1,1,1.0
NSW173,PSID17,1,1,1,1.0
NSW158,PSID110,1,1,1,1.0
NSW83,PSID361,1,1,1,1.0
NSW157,PSID140,1,1,1,1.0
NSW39,PSID238,1,1,1,1.0
NSW32,PSID419,1,1,1,1.0
NSW72,PSID412,1,1,1,1.0
NSW166,PSID89,1,1,1,1.0
NSW22,PSID410,1,1,1,1.0
NSW69,PSID354,1,1,1,1.0
NSW150,PSID134,1,1,1,1.0
NSW168,PSID96,1,1,1,1.0
NSW179,PSID72,1,1,1,1.0
NSW23,PSID224,1,1,1,1.0
NSW57,PSID400,1,1,1,1.0
NSW49,PSID333,1,1,1,1.0
NSW79,PSID226,1,1,1,1.0
NSW68,PSID247,1,1,1,1.0
NSW140,PSID180,1,1,1,1.0
NSW144,PSID326,1,1,1,1.0
NSW139,PSID159,1,1,1,1.0
NSW58,PSID420,1,1,1,1.0
NSW147,PSID157,1,1,1,1.0
NSW145,PSID112,1,1,1,1.0
NSW37,PSID228,1,1,1,1.0
NSW155,PSID428,1,1,1,1.0
NSW65,PSID356,1,1,1,1.0
NSW154,PSID91,1,1,1,1.0
NSW98,PSID395,1,1,1,1.0
NSW165,PSID113,1,1,1,1.0
NSW106,PSID387,1,1,1,1.0
NSW36,PSID242,1,1,1,1.0
NSW174,PSID86,1,1,1,1.0
NSW178,PSID111,1,1,1,1.0
NSW171,PSID127,1,1,1,1.0
NSW19,PSID315,1,1,1,1.0
NSW78,PSID372,1,1,1,1.0
NSW11,PSID355,1,1,1,1.0
NSW113,PSID337,1,1,1,1.0
NSW34,PSID386,1,1,1,1.0
NSW12,PSID381,1,1,1,1.0
NSW10,PSID393,1,1,1,1.0
NSW138,PSID179,1,1,1,1.0
NSW131,PSID173,1,1,1,1.0
NSW81,PSID352,1,1,1,1.0
NSW102,PSID423,1,1,1,1.0
NSW60,PSID353,1,1,1,1.0
NSW9,PSID330,1,1,1,1.0
NSW116,PSID229,1,1,1,1.0
NSW96,PSID407,1,1,1,1.0
NSW124,PSID259,1,1,1,1.0
NSW42,PSID377,1,1,1,1.0
NSW125,PSID325,1,1,1,1.0
NSW3,PSID416,1,1,1,1.0
NSW137,PSID235,1,1,1,1.0
NSW104,PSID374,1,1,1,1.0
NSW108,PSID266,1,1,1,1.0
NSW105,PSID388,1,1,1,1.0
NSW92,PSID392,1,1,1,1.0
NSW25,PSID367,1,1,1,1.0
NSW1,PSID368,1,1,1,1.0
NSW61,PSID376,1,1,1,1.0
NSW15,PSID278,1,1,1,1.0
NSW123,PSID218,1,1,1,1.0
NSW75,PSID399,1,1,1,1.0
NSW59,PSID380,1,1,1,1.0
NSW73,PSID291,1,1,1,1.0
NSW76,PSID342,1,1,1,1.0
NSW114,PSID389,1,1,1,1.0
NSW13,PSID398,1,1,1,1.0
NSW82,PSID373,1,1,1,1.0
NSW122,PSID411,1,1,1,1.0
NSW120,PSID335,1,1,1,1.0
NSW111,PSID253,1,1,1,1.0
NSW20,PSID189,1,1,1,1.0
NSW89,PSID383,1,1,1,1.0
NSW91,PSID408,1,1,1,1.0
NSW146,PSID187,1,1,1,1.0
NSW56,PSID401,1,1,1,1.0
NSW48,PSID370,1,1,1,1.0
NSW50,PSID269,1,1,1,1.0
NSW133,PSID375,1,1,1,1.0
NSW80,PSID277,1,1,1,1.0
NSW47,PSID256,1,1,1,1.0
NSW127,PSID191,1,1,1,1.0
NSW130,PSID231,1,1,1,1.0
NSW52,PSID343,1,1,1,1.0
NSW46,PSID293,1,1,1,1.0
NSW97,PSID268,1,1,1,1.0
NSW31,PSID406,1,1,1,1.0
NSW33,PSID382,1,1,1,1.0
NSW132,PSID196,1,1,1,1.0
NSW126,PSID321,1,1,1,1.0
NSW118,PSID234,1,1,1,1.0
NSW55,PSID378,1,1,1,1.0
NSW43,PSID345,1,1,1,1.0
NSW44,PSID391,1,1,1,1.0
NSW28,PSID339,1,1,1,1.0
NSW2,PSID341,1,1,1,1.0
NSW112,PSID366,1,1,1,1.0
NSW110,PSID308,1,1,1,1.0
NSW87,PSID265,1,1,1,1.0
NSW135,PSID167,1,1,1,1.0
NSW100,PSID199,1,1,1,1.0
NSW169,PSID115,1,1,1,1.0
NSW149,PSID148,1,1,1,1.0
NSW128,PSID214,1,1,1,1.0
NSW115,PSID260,1,1,1,1.0
NSW38,PSID331,1,1,1,1.0
