covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8432432432432433,0.20279720279720279,0.768,0.616,1.6677188107185172,0.3324581102360543,,,0.3202230202230202,0.076,0.6404460404460404,0.152,True,race_black,categorical
race_hispan__cat,0.05945945945945946,0.14219114219114218,0.088,0.088,-0.2769395965062943,0.0,,,0.04136584136584137,0.0,0.08273168273168274,0.0,True,race_hispan,categorical
race_white__cat,0.0972972972972973,0.655011655011655,0.144,0.296,-1.4057382871557371,-0.37177118911912815,,,0.27885717885717887,0.07600000000000001,0.5577143577143577,0.15200000000000002,True,race_white,categorical
married_0__cat,0.8108108108108109,0.48717948717948717,0.736,0.728,0.7194919624729046,0.01799039076478037,,,0.1618156618156618,0.0040000000000000036,0.3236313236313236,0.008000000000000007,True,married_0,categorical
married_1__cat,0.1891891891891892,0.5128205128205128,0.264,0.272,-0.7194919624729043,-0.01799039076478037,,,0.16181566181566184,0.0040000000000000036,0.3236313236313237,0.008000000000000007,True,married_1,categorical
nodegree_0__cat,0.2918918918918919,0.40326340326340326,0.328,0.344,-0.23504820466514967,-0.033743058162754455,,,0.05568575568575568,0.008000000000000007,0.11137151137151136,0.016000000000000014,True,nodegree_0,categorical
nodegree_1__cat,0.7081081081081081,0.5967365967365967,0.672,0.656,0.23504820466514967,0.03374305816275457,,,0.05568575568575568,0.00799999999999998,0.11137151137151136,0.01599999999999996,True,nodegree_1,categorical
age__num,25.816216216216215,28.03030303030303,25.8,26.192,-0.24190362292609974,-0.04270782270670478,0.4399954634350611,0.6326288981379959,0.08133906633906636,0.04194594594594594,0.15772695772695777,0.11199999999999999,False,age,numeric
educ__num,10.345945945945946,10.235431235431236,10.32,10.312,0.04475508511087087,0.0033268744070216643,0.4958933714292092,0.677560035188201,0.03472231893284525,0.0165,0.11137151137151136,0.040000000000000036,False,educ,numeric
re74__num,2095.573688648649,5619.2365063869465,2763.0775304000003,3246.9596384799997,-0.5957515910049503,-0.087647461316534,0.5181284808561772,1.129110944045116,0.2247948890406991,0.07281355932203389,0.44703584703584703,0.28,False,re74,numeric
re75__num,1532.0553137837837,2466.484443123543,1857.9829083999998,1700.1046608000001,-0.2870021087425329,0.045626134522234935,0.9562930453889501,1.3606745717410407,0.1341714465309971,0.023932773109243695,0.2876456876456876,0.08799999999999997,False,re75,numeric
