id,subclass,weight,is_treated
NSW98,NSW98,1.0,True
PSID395,NSW98,1.0,False
NSW97,NSW97,1.0,True
PSID268,NSW97,1.0,False
NSW96,NSW96,1.0,True
PSID407,NSW96,1.0,False
NSW91,NSW91,1.0,True
PSID343,NSW91,1.0,False
NSW9,NSW9,1.0,True
PSID330,NSW9,1.0,False
NSW89,NSW89,1.0,True
PSID383,NSW89,1.0,False
NSW87,NSW87,1.0,True
PSID265,NSW87,1.0,False
NSW83,NSW83,1.0,True
PSID361,NSW83,1.0,False
NSW82,NSW82,1.0,True
PSID234,NSW82,1.0,False
NSW80,NSW80,1.0,True
PSID277,NSW80,1.0,False
NSW79,NSW79,1.0,True
PSID226,NSW79,1.0,False
NSW78,NSW78,1.0,True
PSID372,NSW78,1.0,False
NSW76,NSW76,1.0,True
PSID342,NSW76,1.0,False
NSW75,NSW75,1.0,True
PSID399,NSW75,1.0,False
NSW73,NSW73,1.0,True
PSID291,NSW73,1.0,False
NSW72,NSW72,1.0,True
PSID412,NSW72,1.0,False
NSW7,NSW7,1.0,True
PSID269,NSW7,1.0,False
NSW69,NSW69,1.0,True
PSID354,NSW69,1.0,False
NSW68,NSW68,1.0,True
PSID247,NSW68,1.0,False
NSW65,NSW65,1.0,True
PSID356,NSW65,1.0,False
NSW61,NSW61,1.0,True
PSID256,NSW61,1.0,False
NSW60,NSW60,1.0,True
PSID353,NSW60,1.0,False
NSW59,NSW59,1.0,True
PSID380,NSW59,1.0,False
NSW58,NSW58,1.0,True
PSID420,NSW58,1.0,False
NSW57,NSW57,1.0,True
PSID400,NSW57,1.0,False
NSW56,NSW56,1.0,True
PSID406,NSW56,1.0,False
NSW55,NSW55,1.0,True
PSID375,NSW55,1.0,False
NSW53,NSW53,1.0,True
PSID389,NSW53,1.0,False
NSW52,NSW52,1.0,True
PSID408,NSW52,1.0,False
NSW49,NSW49,1.0,True
PSID228,NSW49,1.0,False
NSW48,NSW48,1.0,True
PSID266,NSW48,1.0,False
NSW47,NSW47,1.0,True
PSID376,NSW47,1.0,False
NSW46,NSW46,1.0,True
PSID382,NSW46,1.0,False
NSW44,NSW44,1.0,True
PSID391,NSW44,1.0,False
NSW43,NSW43,1.0,True
PSID398,NSW43,1.0,False
NSW42,NSW42,1.0,True
PSID397,NSW42,1.0,False
NSW41,NSW41,1.0,True
PSID386,NSW41,1.0,False
NSW39,NSW39,1.0,True
PSID238,NSW39,1.0,False
NSW38,NSW38,1.0,True
PSID331,NSW38,1.0,False
NSW37,NSW37,1.0,True
PSID333,NSW37,1.0,False
NSW36,NSW36,1.0,True
PSID242,NSW36,1.0,False
NSW35,NSW35,1.0,True
PSID352,NSW35,1.0,False
NSW34,NSW34,1.0,True
PSID373,NSW34,1.0,False
NSW33,NSW33,1.0,True
PSID293,NSW33,1.0,False
NSW32,NSW32,1.0,True
PSID419,NSW32,1.0,False
NSW31,NSW31,1.0,True
PSID392,NSW31,1.0,False
NSW3,NSW3,1.0,True
PSID416,NSW3,1.0,False
NSW29,NSW29,1.0,True
PSID401,NSW29,1.0,False
NSW28,NSW28,1.0,True
PSID339,NSW28,1.0,False
NSW26,NSW26,1.0,True
PSID378,NSW26,1.0,False
NSW25,NSW25,1.0,True
PSID411,NSW25,1.0,False
NSW23,NSW23,1.0,True
PSID224,NSW23,1.0,False
NSW22,NSW22,1.0,True
PSID410,NSW22,1.0,False
NSW20,NSW20,1.0,True
PSID189,NSW20,1.0,False
NSW2,NSW2,1.0,True
PSID341,NSW2,1.0,False
NSW19,NSW19,1.0,True
PSID315,NSW19,1.0,False
NSW185,NSW185,1.0,True
PSID1,NSW185,1.0,False
NSW184,NSW184,1.0,True
PSID5,NSW184,1.0,False
NSW183,NSW183,1.0,True
PSID6,NSW183,1.0,False
NSW182,NSW182,1.0,True
PSID3,NSW182,1.0,False
NSW181,NSW181,1.0,True
PSID59,NSW181,1.0,False
NSW180,NSW180,1.0,True
PSID66,NSW180,1.0,False
NSW179,NSW179,1.0,True
PSID72,NSW179,1.0,False
NSW178,NSW178,1.0,True
PSID111,NSW178,1.0,False
NSW177,NSW177,1.0,True
PSID95,NSW177,1.0,False
NSW175,NSW175,1.0,True
PSID300,NSW175,1.0,False
NSW174,NSW174,1.0,True
PSID86,NSW174,1.0,False
NSW173,NSW173,1.0,True
PSID17,NSW173,1.0,False
NSW172,NSW172,1.0,True
PSID41,NSW172,1.0,False
NSW171,NSW171,1.0,True
PSID127,NSW171,1.0,False
NSW169,NSW169,1.0,True
PSID115,NSW169,1.0,False
NSW168,NSW168,1.0,True
PSID96,NSW168,1.0,False
NSW167,NSW167,1.0,True
PSID114,NSW167,1.0,False
NSW166,NSW166,1.0,True
PSID89,NSW166,1.0,False
NSW165,NSW165,1.0,True
PSID113,NSW165,1.0,False
NSW163,NSW163,1.0,True
PSID27,NSW163,1.0,False
NSW16,NSW16,1.0,True
PSID367,NSW16,1.0,False
NSW158,NSW158,1.0,True
PSID110,NSW158,1.0,False
NSW157,NSW157,1.0,True
PSID140,NSW157,1.0,False
NSW156,NSW156,1.0,True
PSID69,NSW156,1.0,False
NSW155,NSW155,1.0,True
PSID428,NSW155,1.0,False
NSW154,NSW154,1.0,True
PSID91,NSW154,1.0,False
NSW152,NSW152,1.0,True
PSID99,NSW152,1.0,False
NSW150,NSW150,1.0,True
PSID134,NSW150,1.0,False
NSW15,NSW15,1.0,True
PSID278,NSW15,1.0,False
NSW149,NSW149,1.0,True
PSID148,NSW149,1.0,False
NSW147,NSW147,1.0,True
PSID157,NSW147,1.0,False
NSW146,NSW146,1.0,True
PSID187,NSW146,1.0,False
NSW145,NSW145,1.0,True
PSID112,NSW145,1.0,False
NSW144,NSW144,1.0,True
PSID326,NSW144,1.0,False
NSW142,NSW142,1.0,True
PSID217,NSW142,1.0,False
NSW140,NSW140,1.0,True
PSID180,NSW140,1.0,False
NSW139,NSW139,1.0,True
PSID159,NSW139,1.0,False
NSW138,NSW138,1.0,True
PSID179,NSW138,1.0,False
NSW137,NSW137,1.0,True
PSID235,NSW137,1.0,False
NSW135,NSW135,1.0,True
PSID167,NSW135,1.0,False
NSW134,NSW134,1.0,True
PSID93,NSW134,1.0,False
NSW132,NSW132,1.0,True
PSID196,NSW132,1.0,False
NSW131,NSW131,1.0,True
PSID173,NSW131,1.0,False
NSW130,NSW130,1.0,True
PSID231,NSW130,1.0,False
NSW13,NSW13,1.0,True
PSID345,NSW13,1.0,False
NSW129,NSW129,1.0,True
PSID76,NSW129,1.0,False
NSW128,NSW128,1.0,True
PSID214,NSW128,1.0,False
NSW127,NSW127,1.0,True
PSID191,NSW127,1.0,False
NSW126,NSW126,1.0,True
PSID321,NSW126,1.0,False
NSW125,NSW125,1.0,True
PSID325,NSW125,1.0,False
NSW124,NSW124,1.0,True
PSID259,NSW124,1.0,False
NSW123,NSW123,1.0,True
PSID218,NSW123,1.0,False
NSW120,NSW120,1.0,True
PSID335,NSW120,1.0,False
NSW12,NSW12,1.0,True
PSID381,NSW12,1.0,False
NSW116,NSW116,1.0,True
PSID229,NSW116,1.0,False
NSW115,NSW115,1.0,True
PSID260,NSW115,1.0,False
NSW113,NSW113,1.0,True
PSID337,NSW113,1.0,False
NSW112,NSW112,1.0,True
PSID366,NSW112,1.0,False
NSW111,NSW111,1.0,True
PSID253,NSW111,1.0,False
NSW110,NSW110,1.0,True
PSID308,NSW110,1.0,False
NSW11,NSW11,1.0,True
PSID355,NSW11,1.0,False
NSW108,NSW108,1.0,True
PSID370,NSW108,1.0,False
NSW106,NSW106,1.0,True
PSID387,NSW106,1.0,False
NSW105,NSW105,1.0,True
PSID388,NSW105,1.0,False
NSW104,NSW104,1.0,True
PSID374,NSW104,1.0,False
NSW102,NSW102,1.0,True
PSID423,NSW102,1.0,False
NSW100,NSW100,1.0,True
PSID199,NSW100,1.0,False
NSW10,NSW10,1.0,True
PSID393,NSW10,1.0,False
NSW1,NSW1,1.0,True
PSID368,NSW1,1.0,False
NSW4,,0.0,True
NSW5,,0.0,True
NSW6,,0.0,True
NSW8,,0.0,True
NSW14,,0.0,True
NSW17,,0.0,True
NSW18,,0.0,True
NSW21,,0.0,True
NSW24,,0.0,True
NSW27,,0.0,True
NSW30,,0.0,True
NSW40,,0.0,True
NSW45,,0.0,True
NSW50,,0.0,True
NSW51,,0.0,True
NSW54,,0.0,True
NSW62,,0.0,True
NSW63,,0.0,True
NSW64,,0.0,True
NSW66,,0.0,True
NSW67,,0.0,True
NSW70,,0.0,True
NSW71,,0.0,True
NSW74,,0.0,True
NSW77,,0.0,True
NSW81,,0.0,True
NSW84,,0.0,True
NSW85,,0.0,True
NSW86,,0.0,True
NSW88,,0.0,True
NSW90,,0.0,True
NSW92,,0.0,True
NSW93,,0.0,True
NSW94,,0.0,True
NSW95,,0.0,True
NSW99,,0.0,True
NSW101,,0.0,True
NSW103,,0.0,True
NSW107,,0.0,True
NSW109,,0.0,True
NSW114,,0.0,True
NSW117,,0.0,True
NSW118,,0.0,True
NSW119,,0.0,True
NSW121,,0.0,True
NSW122,,0.0,True
NSW133,,0.0,True
NSW136,,0.0,True
NSW141,,0.0,True
NSW143,,0.0,True
NSW148,,0.0,True
NSW151,,0.0,True
NSW153,,0.0,True
NSW159,,0.0,True
NSW160,,0.0,True
NSW161,,0.0,True
NSW162,,0.0,True
NSW164,,0.0,True
NSW170,,0.0,True
NSW176,,0.0,True
PSID2,,0.0,False
PSID4,,0.0,False
PSID7,,0.0,False
PSID8,,0.0,False
PSID9,,0.0,False
PSID10,,0.0,False
PSID11,,0.0,False
PSID12,,0.0,False
PSID13,,0.0,False
PSID14,,0.0,False
PSID15,,0.0,False
PSID16,,0.0,False
PSID18,,0.0,False
PSID19,,0.0,False
PSID20,,0.0,False
PSID21,,0.0,False
PSID22,,0.0,False
PSID23,,0.0,False
PSID24,,0.0,False
PSID25,,0.0,False
PSID26,,0.0,False
PSID28,,0.0,False
PSID29,,0.0,False
PSID30,,0.0,False
PSID31,,0.0,False
PSID32,,0.0,False
PSID33,,0.0,False
PSID34,,0.0,False
PSID35,,0.0,False
PSID36,,0.0,False
PSID37,,0.0,False
PSID38,,0.0,False
PSID39,,0.0,False
PSID40,,0.0,False
PSID42,,0.0,False
PSID43,,0.0,False
PSID44,,0.0,False
PSID45,,0.0,False
PSID46,,0.0,False
PSID47,,0.0,False
PSID48,,0.0,False
PSID49,,0.0,False
PSID50,,0.0,False
PSID51,,0.0,False
PSID52,,0.0,False
PSID53,,0.0,False
PSID54,,0.0,False
PSID55,,0.0,False
PSID56,,0.0,False
PSID57,,0.0,False
PSID58,,0.0,False
PSID60,,0.0,False
PSID61,,0.0,False
PSID62,,0.0,False
PSID63,,0.0,False
PSID64,,0.0,False
PSID65,,0.0,False
PSID67,,0.0,False
PSID68,,0.0,False
PSID70,,0.0,False
PSID71,,0.0,False
PSID73,,0.0,False
PSID74,,0.0,False
PSID75,,0.0,False
PSID77,,0.0,False
PSID78,,0.0,False
PSID79,,0.0,False
PSID80,,0.0,False
PSID81,,0.0,False
PSID82,,0.0,False
PSID83,,0.0,False
PSID84,,0.0,False
PSID85,,0.0,False
PSID87,,0.0,False
PSID88,,0.0,False
PSID90,,0.0,False
PSID92,,0.0,False
PSID94,,0.0,False
PSID97,,0.0,False
PSID98,,0.0,False
PSID100,,0.0,False
PSID101,,0.0,False
PSID102,,0.0,False
PSID103,,0.0,False
PSID104,,0.0,False
PSID105,,0.0,False
PSID106,,0.0,False
PSID107,,0.0,False
PSID108,,0.0,False
PSID109,,0.0,False
PSID116,,0.0,False
PSID117,,0.0,False
PSID118,,0.0,False
PSID119,,0.0,False
PSID120,,0.0,False
PSID121,,0.0,False
PSID122,,0.0,False
PSID123,,0.0,False
PSID124,,0.0,False
PSID125,,0.0,False
PSID126,,0.0,False
PSID128,,0.0,False
PSID129,,0.0,False
PSID130,,0.0,False
PSID131,,0.0,False
PSID132,,0.0,False
PSID133,,0.0,False
PSID135,,0.0,False
PSID136,,0.0,False
PSID137,,0.0,False
PSID138,,0.0,False
PSID139,,0.0,False
PSID141,,0.0,False
PSID142,,0.0,False
PSID143,,0.0,False
PSID144,,0.0,False
PSID145,,0.0,False
PSID146,,0.0,False
PSID147,,0.0,False
PSID149,,0.0,False
PSID150,,0.0,False
PSID151,,0.0,False
PSID152,,0.0,False
PSID153,,0.0,False
PSID154,,0.0,False
PSID155,,0.0,False
PSID156,,0.0,False
PSID158,,0.0,False
PSID160,,0.0,False
PSID161,,0.0,False
PSID162,,0.0,False
PSID163,,0.0,False
PSID164,,0.0,False
PSID165,,0.0,False
PSID166,,0.0,False
PSID168,,0.0,False
PSID169,,0.0,False
PSID170,,0.0,False
PSID171,,0.0,False
PSID172,,0.0,False
PSID174,,0.0,False
PSID175,,0.0,False
PSID176,,0.0,False
PSID177,,0.0,False
PSID178,,0.0,False
PSID181,,0.0,False
PSID182,,0.0,False
PSID183,,0.0,False
PSID184,,0.0,False
PSID185,,0.0,False
PSID186,,0.0,False
PSID188,,0.0,False
PSID190,,0.0,False
PSID192,,0.0,False
PSID193,,0.0,False
PSID194,,0.0,False
PSID195,,0.0,False
PSID197,,0.0,False
PSID198,,0.0,False
PSID200,,0.0,False
PSID201,,0.0,False
PSID202,,0.0,False
PSID203,,0.0,False
PSID204,,0.0,False
PSID205,,0.0,False
PSID206,,0.0,False
PSID207,,0.0,False
PSID208,,0.0,False
PSID209,,0.0,False
PSID210,,0.0,False
PSID211,,0.0,False
PSID212,,0.0,False
PSID213,,0.0,False
PSID215,,0.0,False
PSID216,,0.0,False
PSID219,,0.0,False
PSID220,,0.0,False
PSID221,,0.0,False
PSID222,,0.0,False
PSID223,,0.0,False
PSID225,,0.0,False
PSID227,,0.0,False
PSID230,,0.0,False
PSID232,,0.0,False
PSID233,,0.0,False
PSID236,,0.0,False
PSID237,,0.0,False
PSID239,,0.0,False
PSID240,,0.0,False
PSID241,,0.0,False
PSID243,,0.0,False
PSID244,,0.0,False
PSID245,,0.0,False
PSID246,,0.0,False
PSID248,,0.0,False
PSID249,,0.0,False
PSID250,,0.0,False
PSID251,,0.0,False
PSID252,,0.0,False
PSID254,,0.0,False
PSID255,,0.0,False
PSID257,,0.0,False
PSID258,,0.0,False
PSID261,,0.0,False
PSID262,,0.0,False
PSID263,,0.0,False
PSID264,,0.0,False
PSID267,,0.0,False
PSID270,,0.0,False
PSID271,,0.0,False
PSID272,,0.0,False
PSID273,,0.0,False
PSID274,,0.0,False
PSID275,,0.0,False
PSID276,,0.0,False
PSID279,,0.0,False
PSID280,,0.0,False
PSID281,,0.0,False
PSID282,,0.0,False
PSID283,,0.0,False
PSID284,,0.0,False
PSID285,,0.0,False
PSID286,,0.0,False
PSID287,,0.0,False
PSID288,,0.0,False
PSID289,,0.0,False
PSID290,,0.0,False
PSID292,,0.0,False
PSID294,,0.0,False
PSID295,,0.0,False
PSID296,,0.0,False
PSID297,,0.0,False
PSID298,,0.0,False
PSID299,,0.0,False
PSID301,,0.0,False
PSID302,,0.0,False
PSID303,,0.0,False
PSID304,,0.0,False
PSID305,,0.0,False
PSID306,,0.0,False
PSID307,,0.0,False
PSID309,,0.0,False
PSID310,,0.0,False
PSID311,,0.0,False
PSID312,,0.0,False
PSID313,,0.0,False
PSID314,,0.0,False
