id,match_id,match_round,treated_k,control_usage_count,pair_weight
NSW173,PSID78,1,1,1,1.0
NSW141,PSID96,1,1,1,1.0
NSW182,PSID300,1,1,1,1.0
NSW134,PSID93,1,1,1,1.0
NSW175,PSID263,1,1,1,1.0
NSW122,PSID231,1,1,1,1.0
NSW25,PSID367,1,1,1,1.0
NSW108,PSID370,1,1,1,1.0
NSW105,PSID388,1,1,1,1.0
NSW104,PSID389,1,1,1,1.0
NSW92,PSID392,1,1,1,1.0
NSW60,PSID353,1,1,1,1.0
NSW68,PSID414,1,1,1,1.0
NSW140,PSID180,1,1,1,1.0
NSW125,PSID325,1,1,1,1.0
NSW42,PSID237,1,1,1,1.0
NSW166,PSID89,1,1,1,1.0
NSW119,PSID266,1,1,1,1.0
NSW76,PSID342,1,1,1,1.0
NSW16,PSID411,1,1,1,1.0
NSW56,PSID401,1,1,1,1.0
NSW53,PSID374,1,1,1,1.0
NSW48,PSID268,1,1,1,1.0
NSW114,PSID406,1,1,1,1.0
NSW156,PSID69,1,1,1,1.0
NSW157,PSID140,1,1,1,1.0
NSW106,PSID400,1,1,1,1.0
NSW152,PSID99,1,1,1,1.0
NSW83,PSID361,1,1,1,1.0
NSW158,PSID110,1,1,1,1.0
NSW113,PSID337,1,1,1,1.0
NSW59,PSID380,1,1,1,1.0
NSW75,PSID399,1,1,1,1.0
NSW39,PSID408,1,1,1,1.0
NSW183,PSID6,1,1,1,1.0
NSW57,PSID226,1,1,1,1.0
NSW115,PSID260,1,1,1,1.0
NSW102,PSID423,1,1,1,1.0
NSW10,PSID393,1,1,1,1.0
NSW73,PSID291,1,1,1,1.0
NSW23,PSID224,1,1,1,1.0
NSW36,PSID416,1,1,1,1.0
NSW153,PSID157,1,1,1,1.0
NSW94,PSID269,1,1,1,1.0
NSW50,PSID352,1,1,1,1.0
NSW185,PSID1,1,1,1,1.0
NSW172,PSID97,1,1,1,1.0
NSW13,PSID256,1,1,1,1.0
NSW179,PSID72,1,1,1,1.0
NSW15,PSID278,1,1,1,1.0
NSW32,PSID419,1,1,1,1.0
NSW69,PSID354,1,1,1,1.0
NSW127,PSID159,1,1,1,1.0
NSW144,PSID326,1,1,1,1.0
NSW38,PSID331,1,1,1,1.0
NSW181,PSID59,1,1,1,1.0
NSW171,PSID118,1,1,1,1.0
NSW98,PSID412,1,1,1,1.0
NSW58,PSID420,1,1,1,1.0
NSW155,PSID375,1,1,1,1.0
NSW22,PSID242,1,1,1,1.0
NSW120,PSID335,1,1,1,1.0
NSW168,PSID228,1,1,1,1.0
NSW184,PSID13,1,1,1,1.0
NSW3,PSID189,1,1,1,1.0
NSW154,PSID191,1,1,1,1.0
NSW65,PSID387,1,1,1,1.0
NSW85,PSID333,1,1,1,1.0
NSW178,PSID24,1,1,1,1.0
NSW142,PSID154,1,1,1,1.0
NSW72,PSID395,1,1,1,1.0
NSW124,PSID259,1,1,1,1.0
NSW163,PSID308,1,1,1,1.0
NSW112,PSID366,1,1,1,1.0
NSW146,PSID158,1,1,1,1.0
NSW169,PSID47,1,1,1,1.0
NSW180,PSID17,1,1,1,1.0
NSW150,PSID134,1,1,1,1.0
NSW129,PSID327,1,1,1,1.0
NSW2,PSID265,1,1,1,1.0
NSW1,PSID368,1,1,1,1.0
NSW177,PSID95,1,1,1,1.0
NSW137,PSID235,1,1,1,1.0
NSW138,PSID173,1,1,1,1.0
NSW61,PSID398,1,1,1,1.0
NSW11,PSID355,1,1,1,1.0
NSW44,PSID391,1,1,1,1.0
NSW87,PSID339,1,1,1,1.0
NSW18,PSID372,1,1,1,1.0
NSW167,PSID202,1,1,1,1.0
NSW80,PSID277,1,1,1,1.0
NSW111,PSID345,1,1,1,1.0
NSW131,PSID218,1,1,1,1.0
NSW28,PSID199,1,1,1,1.0
NSW91,PSID343,1,1,1,1.0
NSW149,PSID106,1,1,1,1.0
NSW47,PSID376,1,1,1,1.0
NSW133,PSID382,1,1,1,1.0
NSW88,PSID253,1,1,1,1.0
NSW110,PSID321,1,1,1,1.0
NSW135,PSID148,1,1,1,1.0
NSW100,PSID225,1,1,1,1.0
NSW128,PSID378,1,1,1,1.0
NSW52,PSID273,1,1,1,1.0
NSW126,PSID94,1,1,1,1.0
NSW46,PSID324,1,1,1,1.0
NSW55,PSID215,1,1,1,1.0
NSW33,PSID317,1,1,1,1.0
NSW14,PSID347,1,1,1,1.0
NSW12,PSID381,1,1,1,1.0
NSW9,PSID330,1,1,1,1.0
NSW34,PSID373,1,1,1,1.0
NSW96,PSID407,1,1,1,1.0
NSW116,PSID322,1,1,1,1.0
NSW145,PSID220,1,1,1,1.0
NSW82,PSID386,1,1,1,1.0
NSW89,PSID383,1,1,1,1.0
NSW118,PSID234,1,1,1,1.0
NSW162,PSID356,1,1,1,1.0
