covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8432432432432433,0.20279720279720279,0.7563025210084033,0.6050420168067226,1.6677188107185172,0.32741355593713795,,,0.3202230202230202,0.07563025210084033,0.6404460404460404,0.15126050420168066,True,race_black,categorical
race_hispan__cat,0.05945945945945946,0.14219114219114218,0.09243697478991597,0.09243697478991597,-0.2769395965062943,0.0,,,0.04136584136584137,0.0,0.08273168273168274,0.0,True,race_hispan,categorical
race_white__cat,0.0972972972972973,0.655011655011655,0.15126050420168066,0.3025210084033613,-1.4057382871557371,-0.3656479497952922,,,0.27885717885717887,0.07563025210084034,0.5577143577143577,0.1512605042016807,True,race_white,categorical
married_0__cat,0.8108108108108109,0.48717948717948717,0.7142857142857143,0.6974789915966386,0.7194919624729046,0.036736495620202696,,,0.1618156618156618,0.008403361344537813,0.3236313236313236,0.016806722689075626,True,married_0,categorical
married_1__cat,0.1891891891891892,0.5128205128205128,0.2857142857142857,0.3025210084033613,-0.7194919624729043,-0.03673649562020257,,,0.16181566181566184,0.00840336134453784,0.3236313236313237,0.01680672268907568,True,married_1,categorical
nodegree_0__cat,0.2918918918918919,0.40326340326340326,0.31092436974789917,0.31092436974789917,-0.23504820466514967,0.0,,,0.05568575568575568,0.0,0.11137151137151136,0.0,True,nodegree_0,categorical
nodegree_1__cat,0.7081081081081081,0.5967365967365967,0.6890756302521008,0.6890756302521008,0.23504820466514967,0.0,,,0.05568575568575568,0.0,0.11137151137151136,0.0,True,nodegree_1,categorical
age__num,25.816216216216215,28.03030303030303,25.680672268907564,26.445378151260503,-0.24190362292609974,-0.08337054445555288,0.4399954634350611,0.6132788922421445,0.08133906633906636,0.0511204481792717,0.15772695772695777,0.10924369747899154,False,age,numeric
educ__num,10.345945945945946,10.235431235431236,10.302521008403362,10.042016806722689,0.04475508511087087,0.11319656439963076,0.4958933714292092,0.7784819207958678,0.03472231893284525,0.018382352941176478,0.11137151137151136,0.050420168067226934,False,educ,numeric
re74__num,2095.573688648649,5619.2365063869465,2841.6959126050424,3105.6848373109246,-0.5957515910049503,-0.04798917085852011,0.5181284808561772,1.2183796136269949,0.2247948890406991,0.06582633053221289,0.44703584703584703,0.2521008403361345,False,re74,numeric
re75__num,1532.0553137837837,2466.484443123543,1898.7590407563025,1455.2764971428571,-0.2870021087425329,0.13230657306969903,0.9562930453889501,1.7078824620642497,0.1341714465309971,0.03691476590636254,0.2876456876456876,0.0756302521008404,False,re75,numeric
