id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW182,PSID3,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW172,PSID41,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW181,PSID59,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW163,PSID27,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW185,PSID1,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW175,PSID300,1,3,1,0.3333333333333333,41,0.005943375057540834
NSW172,PSID46,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW182,PSID23,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW185,PSID2,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW175,PSID53,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW181,PSID7,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW163,PSID21,2,3,1,0.3333333333333333,41,0.005943375057540834
NSW181,PSID12,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW182,PSID58,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW175,PSID78,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW172,PSID15,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW163,PSID45,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW185,PSID14,3,3,1,0.3333333333333333,41,0.005943375057540834
NSW129,PSID76,1,3,1,0.3333333333333333,16,0.004281791974790394
NSW177,PSID95,1,3,1,0.3333333333333333,16,0.004281791974790394
NSW167,PSID114,1,3,1,0.3333333333333333,16,0.004281791974790394
NSW129,PSID31,2,3,1,0.3333333333333333,16,0.004281791974790394
NSW177,PSID82,2,3,1,0.3333333333333333,16,0.004281791974790394
NSW167,PSID305,2,3,1,0.3333333333333333,16,0.004281791974790394
NSW177,PSID160,3,3,1,0.3333333333333333,16,0.004281791974790394
NSW167,PSID299,3,3,1,0.3333333333333333,16,0.004281791974790394
NSW129,PSID73,3,3,1,0.3333333333333333,16,0.004281791974790394
NSW134,PSID93,1,3,1,0.3333333333333333,57,0.005705500021576881
NSW180,PSID66,1,3,1,0.3333333333333333,57,0.005705500021576881
NSW173,PSID17,1,3,1,0.3333333333333333,57,0.005705500021576881
NSW173,PSID161,2,3,1,0.3333333333333333,57,0.005705500021576881
NSW134,PSID94,2,3,1,0.3333333333333333,57,0.005705500021576881
NSW180,PSID207,2,3,1,0.3333333333333333,57,0.005705500021576881
NSW134,PSID132,3,3,1,0.3333333333333333,57,0.005705500021576881
NSW180,PSID40,3,3,1,0.3333333333333333,57,0.005705500021576881
NSW173,PSID63,3,3,1,0.3333333333333333,57,0.005705500021576881
NSW32,PSID419,1,3,1,0.3333333333333333,188,0.01732520805671811
NSW166,PSID89,1,3,1,0.3333333333333333,188,0.01732520805671811
NSW69,PSID354,1,3,1,0.3333333333333333,188,0.01732520805671811
NSW179,PSID72,1,3,1,0.3333333333333333,188,0.01732520805671811
