covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8432432432432433,0.20279720279720279,0.35,0.11666666666666667,1.6677188107185172,0.5682149391333032,,,0.3202230202230202,0.11666666666666664,0.6404460404460404,0.23333333333333328,True,race_black,categorical
race_hispan__cat,0.05945945945945946,0.14219114219114218,0.25,0.275,-0.2769395965062943,-0.05637167648182042,,,0.04136584136584137,0.012500000000000011,0.08273168273168274,0.025000000000000022,True,race_hispan,categorical
race_white__cat,0.0972972972972973,0.655011655011655,0.4,0.6083333333333333,-1.4057382871557371,-0.42244295310849883,,,0.27885717885717887,0.10416666666666666,0.5577143577143577,0.20833333333333331,True,race_white,categorical
married_0__cat,0.8108108108108109,0.48717948717948717,0.6,0.5333333333333333,0.7194919624729046,0.13371708529457396,,,0.1618156618156618,0.033333333333333326,0.3236313236313236,0.06666666666666665,True,married_0,categorical
married_1__cat,0.1891891891891892,0.5128205128205128,0.4,0.4666666666666667,-0.7194919624729043,-0.13371708529457396,,,0.16181566181566184,0.033333333333333326,0.3236313236313237,0.06666666666666665,True,married_1,categorical
nodegree_0__cat,0.2918918918918919,0.40326340326340326,0.35,0.4,-0.23504820466514967,-0.10256004177325945,,,0.05568575568575568,0.025000000000000022,0.11137151137151136,0.050000000000000044,True,nodegree_0,categorical
nodegree_1__cat,0.7081081081081081,0.5967365967365967,0.65,0.6,0.23504820466514967,0.10256004177325945,,,0.05568575568575568,0.025000000000000022,0.11137151137151136,0.050000000000000044,True,nodegree_1,categorical
age__num,25.816216216216215,28.03030303030303,26.825,26.991666666666667,-0.24190362292609968,-0.018265733923736906,0.43999546343506096,0.6161237219539327,0.08133906633906636,0.05637254901960782,0.15772695772695777,0.15833333333333333,False,age,numeric
educ__num,10.345945945945946,10.235431235431236,10.2,10.05,0.04475508511087086,0.05738964085733191,0.4958933714292091,0.6732477840844618,0.03472231893284525,0.03177083333333333,0.11137151137151136,0.08333333333333337,False,educ,numeric
re74__num,2095.573688648649,5619.2365063869465,4918.7499975,5589.216482000001,-0.5957515910049503,-0.08780390296658012,0.518128480856177,1.3157989245862773,0.2247948890406991,0.0893302180685358,0.44703584703584703,0.30000000000000004,False,re74,numeric
re75__num,1532.0553137837837,2466.484443123543,3038.0124312499997,2615.5568651666667,-0.2870021087425329,0.09568170329257068,0.9562930453889504,1.6054927586257157,0.1341714465309971,0.027125850340136055,0.2876456876456876,0.09999999999999998,False,re75,numeric
