covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8432432432432433,0.20279720279720279,0.2972972972972973,0.15315315315315314,1.6677188107185172,0.3467614107117131,,,0.3202230202230202,0.07207207207207206,0.6404460404460404,0.14414414414414412,True,race_black,categorical
race_hispan__cat,0.05945945945945946,0.14219114219114218,0.21621621621621623,0.21621621621621623,-0.2769395965062943,0.0,,,0.04136584136584137,0.0,0.08273168273168274,0.0,True,race_hispan,categorical
race_white__cat,0.0972972972972973,0.655011655011655,0.4864864864864865,0.6306306306306306,-1.4057382871557371,-0.2906787793606355,,,0.27885717885717887,0.07207207207207206,0.5577143577143577,0.14414414414414412,True,race_white,categorical
married_0__cat,0.8108108108108109,0.48717948717948717,0.6216216216216216,0.6126126126126126,0.7194919624729046,0.01836628317715845,,,0.1618156618156618,0.004504504504504486,0.3236313236313236,0.009009009009008973,True,married_0,categorical
married_1__cat,0.1891891891891892,0.5128205128205128,0.3783783783783784,0.38738738738738737,-0.7194919624729043,-0.01836628317715834,,,0.16181566181566184,0.004504504504504514,0.3236313236313237,0.009009009009009028,True,married_1,categorical
nodegree_0__cat,0.2918918918918919,0.40326340326340326,0.3783783783783784,0.4144144144144144,-0.23504820466514967,-0.07305596814521384,,,0.05568575568575568,0.018018018018018,0.11137151137151136,0.036036036036036,True,nodegree_0,categorical
nodegree_1__cat,0.7081081081081081,0.5967365967365967,0.6216216216216216,0.5855855855855856,0.23504820466514967,0.07305596814521384,,,0.05568575568575568,0.018018018018018,0.11137151137151136,0.036036036036036,True,nodegree_1,categorical
age__num,25.816216216216215,28.03030303030303,27.324324324324323,26.61261261261261,-0.24190362292609968,0.07739626428142378,0.43999546343506096,0.7120148393308594,0.08133906633906636,0.0442501324854266,0.15772695772695777,0.18018018018018017,False,age,numeric
educ__num,10.345945945945946,10.235431235431236,10.621621621621621,10.432432432432432,0.04475508511087086,0.08070199264843124,0.4958933714292091,0.7905503966983313,0.03472231893284525,0.025096525096525074,0.11137151137151136,0.07207207207207206,False,educ,numeric
re74__num,2095.573688648649,5619.2365063869465,2411.118348648649,3183.702476666666,-0.5957515910049503,-0.17727505023794404,0.518128480856177,0.9801807211122379,0.2247948890406991,0.11215710092114586,0.44703584703584703,0.32432432432432434,False,re74,numeric
re75__num,1532.0553137837837,2466.484443123543,2821.1211662162164,2266.483866306306,-0.2870021087425329,0.12294183734733813,0.9562930453889504,2.278379793104826,0.1341714465309971,0.050137093615354476,0.2876456876456876,0.15315315315315314,False,re75,numeric
