id__id,treat__treat,race_black__cat,race_hispan__cat,race_white__cat,married_0__cat,married_1__cat,nodegree_0__cat,nodegree_1__cat,age__num,educ__num,re74__num,re75__num,exact_match__group,features,is_matched,strata
NSW1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,11.0,0.0,0.0,all,"(11,[0,4,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.744489336520086,4.185175450270528])",NSW1,NSW1:PSID375
NSW1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,11.0,0.0,0.0,all,"(11,[0,4,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.744489336520086,4.185175450270528])",NSW1,NSW1:PSID408
NSW1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,11.0,0.0,0.0,all,"(11,[0,4,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.744489336520086,4.185175450270528])",NSW1,NSW1:PSID368
NSW2,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,22.0,9.0,0.0,0.0,all,"(11,[1,3,6,7,8],[3.1056215479114626,2.0276692185838283,2.0698840201324655,2.226453119011943,3.42423445931225])",NSW2,NSW2:PSID334
NSW2,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,22.0,9.0,0.0,0.0,all,"(11,[1,3,6,7,8],[3.1056215479114626,2.0276692185838283,2.0698840201324655,2.226453119011943,3.42423445931225])",NSW2,NSW2:PSID265
NSW2,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,22.0,9.0,0.0,0.0,all,"(11,[1,3,6,7,8],[3.1056215479114626,2.0276692185838283,2.0698840201324655,2.226453119011943,3.42423445931225])",NSW2,NSW2:PSID341
NSW3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,12.0,0.0,0.0,all,"(11,[0,3,5,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.0360724350162864,4.565645945749666])",NSW3,NSW3:PSID189
NSW3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,12.0,0.0,0.0,all,"(11,[0,3,5,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.0360724350162864,4.565645945749666])",NSW3,NSW3:PSID352
NSW3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,12.0,0.0,0.0,all,"(11,[0,3,5,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.0360724350162864,4.565645945749666])",NSW3,NSW3:PSID416
NSW4,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,11.0,0.0,0.0,all,"(11,[0,3,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,2.732465191514658,4.185175450270528])",NSW4,NSW4:PSID372
NSW4,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,11.0,0.0,0.0,all,"(11,[0,3,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,2.732465191514658,4.185175450270528])",NSW4,NSW4:PSID253
NSW4,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,11.0,0.0,0.0,all,"(11,[0,3,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,2.732465191514658,4.185175450270528])",NSW4,NSW4:PSID423
NSW5,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,8.0,0.0,0.0,all,"(11,[0,3,6,7,8],[2.0432632845468692,2.0276692185838283,2.0698840201324655,3.339679678517915,3.043763963833111])",NSW5,NSW5:PSID326
