covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8432432432432433,0.5543478260869565,0.8432432432432433,0.8126126126126126,0.6629742025104727,0.08114666684634166,,,0.14444770857814335,0.015315315315315312,0.2888954171562867,0.030630630630630623,True,race_black,categorical
race_hispan__cat,0.05945945945945946,0.0893719806763285,0.05945945945945946,0.05945945945945946,-0.11407855396059792,0.0,,,0.014956260608434524,0.0,0.029912521216869048,0.0,True,race_hispan,categorical
race_white__cat,0.0972972972972973,0.35628019323671495,0.0972972972972973,0.12792792792792793,-0.6498876827954273,-0.09692247037493437,,,0.12949144796970885,0.015315315315315325,0.2589828959394177,0.03063063063063065,True,race_white,categorical
married_0__cat,0.8108108108108109,0.6582125603864735,0.8108108108108109,0.8,0.3505855635467467,0.027285661557752094,,,0.0762991252121687,0.005405405405405406,0.1525982504243374,0.010810810810810811,True,married_0,categorical
married_1__cat,0.1891891891891892,0.3417874396135266,0.1891891891891892,0.2,-0.3505855635467467,-0.027285661557752094,,,0.0762991252121687,0.005405405405405406,0.1525982504243374,0.010810810810810811,True,married_1,categorical
nodegree_0__cat,0.2918918918918919,0.33816425120772947,0.2918918918918919,0.2972972972972973,-0.09966106124818684,-0.011847112617087397,,,0.023136179657918754,0.002702702702702675,0.04627235931583751,0.00540540540540535,True,nodegree_0,categorical
nodegree_1__cat,0.7081081081081081,0.6618357487922706,0.7081081081081081,0.7027027027027027,0.09966106124818672,0.011847112617087275,,,0.02313617965791878,0.002702702702702703,0.04627235931583756,0.005405405405405406,True,nodegree_1,categorical
age__num,25.816216216216215,26.993961352657006,25.816216216216215,25.724324324324325,-0.13251590292460558,0.010778339060441375,0.4768644240388997,0.5405694756768851,0.0712702376289333,0.06766239924134661,0.14898811855333594,0.21261261261261255,False,age,numeric
educ__num,10.345945945945946,10.214975845410628,10.345945945945946,10.232432432432432,0.057968463845972144,0.05421900213975598,0.6516878407815763,0.8501198448194913,0.02156664673827146,0.01599099099099099,0.058408408408408385,0.06666666666666665,False,educ,numeric
re74__num,2095.573688648649,3815.915807512077,2095.573688648649,2341.9663338018017,-0.32043309146514076,-0.05371114290048097,0.7027820344886171,1.300511744995266,0.12530024559414896,0.05720720720720722,0.35424337380859117,0.28648648648648645,False,re74,numeric
re75__num,1532.0553137837837,1811.96861557971,1532.0553137837837,1257.5677306666664,-0.09095769157308368,0.09616347806446131,1.1986770440660424,1.730004605149794,0.05374458483886918,0.02614864864864863,0.16642512077294686,0.072072072072072,False,re75,numeric
