id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW134,PSID96,1,3,5,0.06666666666666667,10,0.0042085840832442045
NSW134,PSID93,2,3,4,0.08333333333333333,10,0.0042085840832442045
NSW134,PSID300,3,3,2,0.16666666666666666,10,0.0042085840832442045
NSW182,PSID300,1,3,2,0.16666666666666666,10,0.0042085840832442045
NSW182,PSID96,2,3,5,0.06666666666666667,10,0.0042085840832442045
NSW182,PSID78,3,3,2,0.16666666666666666,10,0.0042085840832442045
NSW173,PSID78,1,3,2,0.16666666666666666,10,0.0042085840832442045
NSW173,PSID93,2,3,4,0.08333333333333333,10,0.0042085840832442045
NSW173,PSID96,3,3,5,0.06666666666666667,10,0.0042085840832442045
NSW175,PSID96,1,3,5,0.06666666666666667,10,0.0042085840832442045
NSW175,PSID93,2,3,4,0.08333333333333333,10,0.0042085840832442045
NSW175,PSID263,3,3,2,0.16666666666666666,10,0.0042085840832442045
NSW141,PSID96,1,3,5,0.06666666666666667,10,0.0042085840832442045
NSW141,PSID93,2,3,4,0.08333333333333333,10,0.0042085840832442045
NSW141,PSID263,3,3,2,0.16666666666666666,10,0.0042085840832442045
NSW122,PSID231,1,3,1,0.3333333333333333,108,0.007467749994248152
NSW122,PSID266,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW122,PSID268,3,3,3,0.1111111111111111,108,0.007467749994248152
NSW119,PSID266,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW119,PSID367,2,3,8,0.041666666666666664,108,0.007467749994248152
NSW119,PSID411,3,3,4,0.08333333333333333,108,0.007467749994248152
NSW25,PSID367,1,3,8,0.041666666666666664,108,0.007467749994248152
NSW25,PSID411,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW25,PSID392,3,3,5,0.06666666666666667,108,0.007467749994248152
NSW16,PSID367,1,3,8,0.041666666666666664,108,0.007467749994248152
NSW16,PSID411,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW16,PSID401,3,3,5,0.06666666666666667,108,0.007467749994248152
NSW108,PSID370,1,3,2,0.16666666666666666,108,0.007467749994248152
NSW108,PSID266,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW108,PSID268,3,3,3,0.1111111111111111,108,0.007467749994248152
NSW48,PSID370,1,3,2,0.16666666666666666,108,0.007467749994248152
NSW48,PSID266,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW48,PSID268,3,3,3,0.1111111111111111,108,0.007467749994248152
NSW114,PSID389,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW114,PSID374,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW114,PSID406,3,3,1,0.3333333333333333,108,0.007467749994248152
NSW105,PSID388,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW105,PSID389,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW105,PSID374,3,3,4,0.08333333333333333,108,0.007467749994248152
NSW104,PSID389,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW104,PSID374,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW104,PSID388,3,3,4,0.08333333333333333,108,0.007467749994248152
NSW92,PSID392,1,3,5,0.06666666666666667,108,0.007467749994248152
NSW92,PSID401,2,3,5,0.06666666666666667,108,0.007467749994248152
NSW92,PSID367,3,3,8,0.041666666666666664,108,0.007467749994248152
NSW56,PSID392,1,3,5,0.06666666666666667,108,0.007467749994248152
NSW56,PSID401,2,3,5,0.06666666666666667,108,0.007467749994248152
NSW56,PSID367,3,3,8,0.041666666666666664,108,0.007467749994248152
NSW53,PSID389,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW53,PSID374,2,3,4,0.08333333333333333,108,0.007467749994248152
NSW53,PSID388,3,3,4,0.08333333333333333,108,0.007467749994248152
NSW45,PSID388,1,3,4,0.08333333333333333,108,0.007467749994248152
NSW45,PSID367,2,3,8,0.041666666666666664,108,0.007467749994248152
NSW45,PSID411,3,3,4,0.08333333333333333,108,0.007467749994248152
NSW31,PSID392,1,3,5,0.06666666666666667,108,0.007467749994248152
NSW31,PSID401,2,3,5,0.06666666666666667,108,0.007467749994248152
NSW31,PSID367,3,3,8,0.041666666666666664,108,0.007467749994248152
NSW29,PSID392,1,3,5,0.06666666666666667,108,0.007467749994248152
NSW29,PSID401,2,3,5,0.06666666666666667,108,0.007467749994248152
