covariate,mean_treated,mean_control,mean_treated_adj,mean_control_adj,smd_unadjusted,smd_adjusted,vr_unadjusted,vr_adjusted,ecdf_mean_unadj,ecdf_mean_adj,ecdf_max_unadj,ecdf_max_adj,is_binary,display_name,feature_type
race_black__cat,0.8426763110307414,0.5393939393939394,0.842391304347826,0.7898550724637681,0.6943511870732215,0.13580776419960136,,,0.15164118581840103,0.026268115942028977,0.30328237163680205,0.052536231884057955,True,race_black,categorical
race_hispan__cat,0.059674502712477394,0.08606060606060606,0.059782608695652176,0.057971014492753624,-0.10157342342710515,0.007689091330913846,,,0.013193051674064316,0.0009057971014492794,0.02638610334812863,0.0018115942028985588,True,race_hispan,categorical
race_white__cat,0.09764918625678119,0.37454545454545457,0.09782608695652174,0.15217391304347827,-0.6892116684385902,-0.16474050695828846,,,0.13844813414433665,0.02717391304347827,0.2768962682886733,0.05434782608695654,True,race_white,categorical
married_0__cat,0.810126582278481,0.6618181818181819,0.8097826086956522,0.8061594202898551,0.3410575322149369,0.009190105298236212,,,0.0741542002301496,0.001811594202898545,0.1483084004602992,0.00362318840579709,True,married_0,categorical
married_1__cat,0.189873417721519,0.3381818181818182,0.19021739130434784,0.19384057971014493,-0.34105753221493706,-0.009190105298236141,,,0.07415420023014957,0.0018115942028985588,0.14830840046029914,0.0036231884057971175,True,married_1,categorical
nodegree_0__cat,0.29294755877034356,0.3381818181818182,0.29347826086956524,0.29347826086956524,-0.09737473388872471,0.0,,,0.02261712970573726,0.0,0.04523425941147452,0.0,True,nodegree_0,categorical
nodegree_1__cat,0.7070524412296564,0.6618181818181819,0.7065217391304348,0.7065217391304348,0.09737473388872447,0.0,,,0.022617129705737316,0.0,0.04523425941147463,0.0,True,nodegree_1,categorical
age__num,25.79746835443038,26.636363636363637,25.78804347826087,25.40036231884058,-0.0970273624284383,0.04745004191287793,0.5192274603819566,0.6208769230554296,0.06237278755000273,0.052774599542334086,0.13169379144062687,0.18659420289855072,False,age,numeric
educ__num,10.368896925858952,10.181818181818182,10.380434782608695,10.155797101449275,0.08276869278552529,0.1089279567363246,0.6163756064951214,0.8189503643435488,0.02597748687022504,0.02379227053140096,0.08686941750232888,0.08514492753623187,False,educ,numeric
re74__num,2072.3475934900544,3775.9060862424235,2060.671431521739,2200.7180414130435,-0.31036408742424515,-0.029545465534350744,0.6496309324973133,1.1156980884721017,0.11503713220989226,0.03653584281684662,0.33854786563647327,0.2536231884057972,False,re74,numeric
re75__num,1523.0457091320072,1696.815658448485,1518.5164241847824,1126.1907305072464,-0.05742871924647435,0.1402123445179787,1.297431519491213,1.9488103646861625,0.04413795799800636,0.03807702630166397,0.1779275576743931,0.09601449275362317,False,re75,numeric
