id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW181,PSID7,1,1,1,1.0,53,0.0037892919790465385
NSW183,PSID6,1,1,1,1.0,53,0.0037892919790465385
NSW182,PSID3,1,1,1,1.0,53,0.0037892919790465385
NSW184,PSID5,1,1,1,1.0,53,0.0037892919790465385
NSW175,PSID27,1,1,1,1.0,53,0.0037892919790465385
NSW185,PSID4,1,1,1,1.0,53,0.0037892919790465385
NSW170,PSID94,1,1,1,1.0,53,0.0037892919790465385
NSW174,PSID24,1,1,1,1.0,53,0.0037892919790465385
NSW163,PSID308,1,1,1,1.0,19,0.0025535419990774244
NSW169,PSID47,1,1,1,1.0,19,0.0025535419990774244
NSW135,PSID300,1,1,1,1.0,19,0.0025535419990774244
NSW149,PSID115,1,1,1,1.0,19,0.0025535419990774244
NSW134,PSID310,1,1,1,1.0,19,0.0025535419990774244
NSW128,PSID92,1,1,1,1.0,19,0.0025535419990774244
NSW168,PSID96,1,1,1,1.0,34,0.0023306670191232115
NSW152,PSID99,1,1,1,1.0,34,0.0023306670191232115
NSW142,PSID69,1,1,1,1.0,34,0.0023306670191232115
NSW165,PSID8,1,1,1,1.0,34,0.0023306670191232115
NSW141,PSID121,1,1,1,1.0,34,0.0023306670191232115
NSW140,PSID323,1,1,1,1.0,121,0.0049262499960605055
NSW129,PSID76,1,1,1,1.0,121,0.0049262499960605055
NSW112,PSID334,1,1,1,1.0,121,0.0049262499960605055
NSW167,PSID114,1,1,1,1.0,121,0.0049262499960605055
NSW106,PSID400,1,1,1,1.0,121,0.0049262499960605055
NSW83,PSID361,1,1,1,1.0,121,0.0049262499960605055
NSW173,PSID150,1,1,1,1.0,121,0.0049262499960605055
NSW69,PSID354,1,1,1,1.0,121,0.0049262499960605055
NSW32,PSID419,1,1,1,1.0,121,0.0049262499960605055
NSW95,PSID226,1,1,1,1.0,121,0.0049262499960605055
NSW180,PSID66,1,1,1,1.0,121,0.0049262499960605055
NSW2,PSID341,1,1,1,1.0,121,0.0049262499960605055
