id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW180,PSID17,1,1,1,1.0,24,0.003582208009902388
NSW185,PSID15,1,1,1,1.0,24,0.003582208009902388
NSW177,PSID95,1,1,1,1.0,24,0.003582208009902388
NSW44,PSID391,1,1,1,1.0,24,0.003582208009902388
NSW167,PSID202,1,1,1,1.0,24,0.003582208009902388
NSW184,PSID9,1,1,1,1.0,24,0.003582208009902388
NSW137,PSID235,1,1,1,1.0,155,0.005232333001913503
NSW172,PSID97,1,1,1,1.0,155,0.005232333001913503
NSW69,PSID354,1,1,1,1.0,155,0.005232333001913503
NSW115,PSID260,1,1,1,1.0,155,0.005232333001913503
NSW1,PSID368,1,1,1,1.0,155,0.005232333001913503
NSW182,PSID58,1,1,1,1.0,155,0.005232333001913503
NSW124,PSID259,1,1,1,1.0,155,0.005232333001913503
NSW163,PSID308,1,1,1,1.0,155,0.005232333001913503
NSW59,PSID380,1,1,1,1.0,155,0.005232333001913503
NSW10,PSID418,1,1,1,1.0,155,0.005232333001913503
NSW39,PSID375,1,1,1,1.0,155,0.005232333001913503
NSW181,PSID59,1,1,1,1.0,155,0.005232333001913503
NSW38,PSID331,1,1,1,1.0,155,0.005232333001913503
NSW58,PSID420,1,1,1,1.0,155,0.005232333001913503
NSW169,PSID27,1,1,1,1.0,155,0.005232333001913503
NSW126,PSID408,1,1,1,1.0,155,0.005232333001913503
NSW149,PSID167,1,1,1,1.0,155,0.005232333001913503
NSW91,PSID428,1,1,1,1.0,155,0.005232333001913503
NSW133,PSID382,1,1,1,1.0,155,0.005232333001913503
NSW46,PSID359,1,1,1,1.0,155,0.005232333001913503
NSW135,PSID214,1,1,1,1.0,155,0.005232333001913503
NSW52,PSID321,1,1,1,1.0,155,0.005232333001913503
NSW55,PSID378,1,1,1,1.0,155,0.005232333001913503
NSW26,PSID273,1,1,1,1.0,155,0.005232333001913503
NSW112,PSID366,1,1,1,1.0,93,0.0035834160225931555
NSW60,PSID353,1,1,1,1.0,93,0.0035834160225931555
NSW125,PSID325,1,1,1,1.0,93,0.0035834160225931555
NSW68,PSID414,1,1,1,1.0,93,0.0035834160225931555
NSW166,PSID89,1,1,1,1.0,93,0.0035834160225931555
NSW87,PSID339,1,1,1,1.0,93,0.0035834160225931555
NSW42,PSID237,1,1,1,1.0,93,0.0035834160225931555
NSW32,PSID419,1,1,1,1.0,93,0.0035834160225931555
NSW23,PSID224,1,1,1,1.0,93,0.0035834160225931555
NSW2,PSID265,1,1,1,1.0,93,0.0035834160225931555
NSW140,PSID180,1,1,1,1.0,93,0.0035834160225931555
NSW76,PSID342,1,1,1,1.0,93,0.0035834160225931555
NSW65,PSID387,1,1,1,1.0,93,0.0035834160225931555
NSW162,PSID172,1,1,1,1.0,93,0.0035834160225931555
NSW28,PSID341,1,1,1,1.0,93,0.0035834160225931555
NSW100,PSID225,1,1,1,1.0,93,0.0035834160225931555
NSW158,PSID110,1,1,1,1.0,332,0.02189037500647828
NSW102,PSID423,1,1,1,1.0,332,0.02189037500647828
NSW78,PSID372,1,1,1,1.0,332,0.02189037500647828
NSW61,PSID376,1,1,1,1.0,332,0.02189037500647828
NSW15,PSID278,1,1,1,1.0,332,0.02189037500647828
NSW11,PSID355,1,1,1,1.0,332,0.02189037500647828
NSW116,PSID322,1,1,1,1.0,332,0.02189037500647828
NSW36,PSID416,1,1,1,1.0,332,0.02189037500647828
NSW105,PSID388,1,1,1,1.0,332,0.02189037500647828
NSW104,PSID374,1,1,1,1.0,332,0.02189037500647828
NSW9,PSID330,1,1,1,1.0,332,0.02189037500647828
