id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW181,PSID7,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW183,PSID6,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW182,PSID3,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW184,PSID5,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW175,PSID27,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW185,PSID4,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW174,PSID24,1,3,1,0.3333333333333333,53,0.005983375012874603
NSW181,PSID12,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW174,PSID57,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW183,PSID10,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW175,PSID54,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW185,PSID1,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW182,PSID23,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW184,PSID18,2,3,1,0.3333333333333333,53,0.005983375012874603
NSW181,PSID14,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW183,PSID20,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW182,PSID58,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW174,PSID70,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW175,PSID25,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW185,PSID2,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW184,PSID37,3,3,1,0.3333333333333333,53,0.005983375012874603
NSW163,PSID308,1,3,1,0.3333333333333333,19,0.004577916988637298
NSW163,PSID41,2,3,1,0.3333333333333333,19,0.004577916988637298
NSW163,PSID117,3,3,1,0.3333333333333333,19,0.004577916988637298
NSW168,PSID96,1,3,1,0.3333333333333333,34,0.004695790994446725
NSW142,PSID69,1,3,1,0.3333333333333333,34,0.004695790994446725
NSW165,PSID8,1,3,1,0.3333333333333333,34,0.004695790994446725
NSW165,PSID59,2,3,1,0.3333333333333333,34,0.004695790994446725
NSW142,PSID103,2,3,1,0.3333333333333333,34,0.004695790994446725
NSW168,PSID88,2,3,1,0.3333333333333333,34,0.004695790994446725
NSW168,PSID78,3,3,1,0.3333333333333333,34,0.004695790994446725
NSW142,PSID147,3,3,1,0.3333333333333333,34,0.004695790994446725
NSW165,PSID64,3,3,1,0.3333333333333333,34,0.004695790994446725
NSW167,PSID114,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW83,PSID361,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW69,PSID354,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW179,PSID72,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW177,PSID31,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW87,PSID265,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW145,PSID112,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW58,PSID420,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW162,PSID387,1,3,1,0.3333333333333333,121,0.009375833004014567
NSW167,PSID45,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW83,PSID242,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW69,PSID238,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW145,PSID105,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW162,PSID172,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW177,PSID161,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW58,PSID360,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW179,PSID137,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW87,PSID264,2,3,1,0.3333333333333333,121,0.009375833004014567
NSW167,PSID51,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW83,PSID395,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW69,PSID421,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW162,PSID263,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW87,PSID164,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW145,PSID315,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW177,PSID22,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW179,PSID154,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW58,PSID415,3,3,1,0.3333333333333333,121,0.009375833004014567
NSW42,PSID237,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW10,PSID393,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW116,PSID322,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW1,PSID368,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW60,PSID353,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW96,PSID407,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW44,PSID391,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW125,PSID325,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW39,PSID408,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW76,PSID342,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW155,PSID375,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW89,PSID383,1,3,1,0.3333333333333333,256,0.02495366698713042
NSW42,PSID377,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW10,PSID344,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW116,PSID229,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW60,PSID425,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW96,PSID340,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW44,PSID202,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW125,PSID182,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW39,PSID428,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW76,PSID289,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW1,PSID343,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW155,PSID106,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW89,PSID245,2,3,1,0.3333333333333333,256,0.02495366698713042
NSW42,PSID422,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW10,PSID418,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW116,PSID316,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW1,PSID321,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW60,PSID357,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW89,PSID211,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW44,PSID255,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW125,PSID290,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW39,PSID394,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW76,PSID258,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW96,PSID221,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW155,PSID378,3,3,1,0.3333333333333333,256,0.02495366698713042
NSW124,PSID259,1,3,1,0.3333333333333333,76,0.00959420797880739
NSW172,PSID97,1,3,1,0.3333333333333333,76,0.00959420797880739
NSW124,PSID181,2,3,1,0.3333333333333333,76,0.00959420797880739
NSW172,PSID83,2,3,1,0.3333333333333333,76,0.00959420797880739
NSW124,PSID309,3,3,1,0.3333333333333333,76,0.00959420797880739
NSW172,PSID109,3,3,1,0.3333333333333333,76,0.00959420797880739
NSW137,PSID235,1,3,1,0.3333333333333333,28,0.0035925419942941517
NSW137,PSID212,2,3,1,0.3333333333333333,28,0.0035925419942941517
NSW137,PSID175,3,3,1,0.3333333333333333,28,0.0035925419942941517
