id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW184,PSID5,1,3,5,0.06666666666666667,53,0.003907250007614493
NSW184,PSID6,2,3,6,0.05555555555555555,53,0.003907250007614493
NSW184,PSID27,3,3,5,0.06666666666666667,53,0.003907250007614493
NSW181,PSID7,1,3,1,0.3333333333333333,53,0.003907250007614493
NSW181,PSID12,2,3,1,0.3333333333333333,53,0.003907250007614493
NSW181,PSID23,3,3,2,0.16666666666666666,53,0.003907250007614493
NSW174,PSID27,1,3,5,0.06666666666666667,53,0.003907250007614493
NSW174,PSID6,2,3,6,0.05555555555555555,53,0.003907250007614493
NSW174,PSID5,3,3,5,0.06666666666666667,53,0.003907250007614493
NSW185,PSID5,1,3,5,0.06666666666666667,53,0.003907250007614493
NSW185,PSID6,2,3,6,0.05555555555555555,53,0.003907250007614493
NSW185,PSID4,3,3,1,0.3333333333333333,53,0.003907250007614493
NSW183,PSID6,1,3,6,0.05555555555555555,53,0.003907250007614493
NSW183,PSID5,2,3,5,0.06666666666666667,53,0.003907250007614493
NSW183,PSID27,3,3,5,0.06666666666666667,53,0.003907250007614493
NSW182,PSID3,1,3,1,0.3333333333333333,53,0.003907250007614493
NSW182,PSID23,2,3,2,0.16666666666666666,53,0.003907250007614493
NSW182,PSID58,3,3,1,0.3333333333333333,53,0.003907250007614493
NSW175,PSID27,1,3,5,0.06666666666666667,53,0.003907250007614493
NSW175,PSID6,2,3,6,0.05555555555555555,53,0.003907250007614493
NSW175,PSID5,3,3,5,0.06666666666666667,53,0.003907250007614493
NSW170,PSID27,1,3,5,0.06666666666666667,53,0.003907250007614493
NSW170,PSID6,2,3,6,0.05555555555555555,53,0.003907250007614493
NSW170,PSID94,3,3,1,0.3333333333333333,53,0.003907250007614493
NSW149,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW149,PSID300,2,3,5,0.06666666666666667,19,0.002660833008121699
NSW149,PSID115,3,3,4,0.08333333333333333,19,0.002660833008121699
NSW128,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW128,PSID300,2,3,5,0.06666666666666667,19,0.002660833008121699
NSW128,PSID115,3,3,4,0.08333333333333333,19,0.002660833008121699
NSW135,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW135,PSID300,2,3,5,0.06666666666666667,19,0.002660833008121699
NSW135,PSID115,3,3,4,0.08333333333333333,19,0.002660833008121699
NSW163,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW163,PSID300,2,3,5,0.06666666666666667,19,0.002660833008121699
NSW163,PSID92,3,3,1,0.3333333333333333,19,0.002660833008121699
NSW169,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW169,PSID47,2,3,1,0.3333333333333333,19,0.002660833008121699
NSW169,PSID115,3,3,4,0.08333333333333333,19,0.002660833008121699
NSW134,PSID308,1,3,6,0.05555555555555555,19,0.002660833008121699
NSW134,PSID300,2,3,5,0.06666666666666667,19,0.002660833008121699
NSW134,PSID310,3,3,1,0.3333333333333333,19,0.002660833008121699
NSW168,PSID96,1,3,2,0.16666666666666666,34,0.0024343330005649477
NSW168,PSID99,2,3,5,0.06666666666666667,34,0.0024343330005649477
NSW168,PSID69,3,3,5,0.06666666666666667,34,0.0024343330005649477
NSW152,PSID99,1,3,5,0.06666666666666667,34,0.0024343330005649477
NSW152,PSID69,2,3,5,0.06666666666666667,34,0.0024343330005649477
NSW152,PSID121,3,3,2,0.16666666666666666,34,0.0024343330005649477
NSW142,PSID99,1,3,5,0.06666666666666667,34,0.0024343330005649477
NSW142,PSID69,2,3,5,0.06666666666666667,34,0.0024343330005649477
NSW142,PSID121,3,3,2,0.16666666666666666,34,0.0024343330005649477
NSW165,PSID99,1,3,5,0.06666666666666667,34,0.0024343330005649477
NSW165,PSID69,2,3,5,0.06666666666666667,34,0.0024343330005649477
NSW165,PSID8,3,3,1,0.3333333333333333,34,0.0024343330005649477
NSW141,PSID96,1,3,2,0.16666666666666666,34,0.0024343330005649477
NSW141,PSID99,2,3,5,0.06666666666666667,34,0.0024343330005649477
NSW141,PSID69,3,3,5,0.06666666666666667,34,0.0024343330005649477
NSW140,PSID323,1,3,4,0.08333333333333333,121,0.00645191699732095
NSW140,PSID224,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW140,PSID142,3,3,3,0.1111111111111111,121,0.00645191699732095
NSW129,PSID76,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW129,PSID207,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW129,PSID161,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW112,PSID334,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW112,PSID417,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW112,PSID264,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW144,PSID326,1,3,8,0.041666666666666664,121,0.00645191699732095
NSW144,PSID400,2,3,8,0.041666666666666664,121,0.00645191699732095
NSW144,PSID226,3,3,6,0.05555555555555555,121,0.00645191699732095
NSW167,PSID114,1,3,1,0.3333333333333333,121,0.00645191699732095
NSW167,PSID45,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW167,PSID51,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW65,PSID400,1,3,8,0.041666666666666664,121,0.00645191699732095
NSW65,PSID356,2,3,3,0.1111111111111111,121,0.00645191699732095
NSW65,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW166,PSID142,1,3,3,0.1111111111111111,121,0.00645191699732095
NSW166,PSID193,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW166,PSID323,3,3,4,0.08333333333333333,121,0.00645191699732095
NSW176,PSID226,1,3,6,0.05555555555555555,121,0.00645191699732095
NSW176,PSID400,2,3,8,0.041666666666666664,121,0.00645191699732095
NSW176,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW106,PSID400,1,3,8,0.041666666666666664,121,0.00645191699732095
NSW106,PSID226,2,3,6,0.05555555555555555,121,0.00645191699732095
NSW106,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW83,PSID361,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW83,PSID242,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW83,PSID395,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW173,PSID150,1,3,1,0.3333333333333333,121,0.00645191699732095
NSW173,PSID66,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW173,PSID17,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW178,PSID226,1,3,6,0.05555555555555555,121,0.00645191699732095
NSW178,PSID400,2,3,8,0.041666666666666664,121,0.00645191699732095
NSW178,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW69,PSID354,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW69,PSID238,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW69,PSID420,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW145,PSID361,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW145,PSID112,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW145,PSID105,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW177,PSID31,1,3,1,0.3333333333333333,121,0.00645191699732095
NSW177,PSID76,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW177,PSID45,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW68,PSID323,1,3,4,0.08333333333333333,121,0.00645191699732095
NSW68,PSID142,2,3,3,0.1111111111111111,121,0.00645191699732095
NSW68,PSID200,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW32,PSID419,1,3,1,0.3333333333333333,121,0.00645191699732095
NSW32,PSID387,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW32,PSID356,3,3,3,0.1111111111111111,121,0.00645191699732095
NSW164,PSID226,1,3,6,0.05555555555555555,121,0.00645191699732095
NSW164,PSID400,2,3,8,0.041666666666666664,121,0.00645191699732095
NSW164,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW58,PSID354,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW58,PSID420,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW58,PSID238,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW100,PSID339,1,3,3,0.1111111111111111,121,0.00645191699732095
NSW100,PSID199,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW100,PSID341,3,3,4,0.08333333333333333,121,0.00645191699732095
NSW95,PSID226,1,3,6,0.05555555555555555,121,0.00645191699732095
NSW95,PSID400,2,3,8,0.041666666666666664,121,0.00645191699732095
NSW95,PSID326,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW180,PSID66,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW180,PSID17,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW180,PSID84,3,3,1,0.3333333333333333,121,0.00645191699732095
NSW162,PSID326,1,3,8,0.041666666666666664,121,0.00645191699732095
NSW162,PSID356,2,3,3,0.1111111111111111,121,0.00645191699732095
NSW162,PSID400,3,3,8,0.041666666666666664,121,0.00645191699732095
NSW2,PSID341,1,3,4,0.08333333333333333,121,0.00645191699732095
NSW2,PSID265,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW2,PSID334,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW87,PSID265,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW87,PSID339,2,3,3,0.1111111111111111,121,0.00645191699732095
NSW87,PSID341,3,3,4,0.08333333333333333,121,0.00645191699732095
NSW28,PSID339,1,3,3,0.1111111111111111,121,0.00645191699732095
NSW28,PSID341,2,3,4,0.08333333333333333,121,0.00645191699732095
NSW28,PSID199,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW23,PSID224,1,3,2,0.16666666666666666,121,0.00645191699732095
NSW23,PSID272,2,3,1,0.3333333333333333,121,0.00645191699732095
NSW23,PSID323,3,3,4,0.08333333333333333,121,0.00645191699732095
NSW179,PSID72,1,3,1,0.3333333333333333,121,0.00645191699732095
NSW179,PSID105,2,3,2,0.16666666666666666,121,0.00645191699732095
NSW179,PSID112,3,3,2,0.16666666666666666,121,0.00645191699732095
NSW49,PSID333,1,3,4,0.08333333333333333,256,0.021822082984726876
NSW49,PSID228,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW49,PSID291,3,3,3,0.1111111111111111,256,0.021822082984726876
NSW37,PSID333,1,3,4,0.08333333333333333,256,0.021822082984726876
NSW37,PSID228,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW37,PSID291,3,3,3,0.1111111111111111,256,0.021822082984726876
NSW88,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW88,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW88,PSID277,3,3,12,0.027777777777777776,256,0.021822082984726876
NSW57,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW57,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW57,PSID372,3,3,26,0.01282051282051282,256,0.021822082984726876
NSW42,PSID237,1,3,1,0.3333333333333333,256,0.021822082984726876
NSW42,PSID377,2,3,1,0.3333333333333333,256,0.021822082984726876
NSW42,PSID422,3,3,1,0.3333333333333333,256,0.021822082984726876
NSW63,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW63,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW63,PSID372,3,3,26,0.01282051282051282,256,0.021822082984726876
NSW157,PSID140,1,3,11,0.030303030303030304,256,0.021822082984726876
NSW157,PSID158,2,3,6,0.05555555555555555,256,0.021822082984726876
NSW157,PSID173,3,3,9,0.037037037037037035,256,0.021822082984726876
NSW76,PSID342,1,3,2,0.16666666666666666,256,0.021822082984726876
NSW76,PSID353,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW76,PSID289,3,3,1,0.3333333333333333,256,0.021822082984726876
NSW146,PSID179,1,3,4,0.08333333333333333,256,0.021822082984726876
NSW146,PSID187,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW146,PSID158,3,3,6,0.05555555555555555,256,0.021822082984726876
NSW130,PSID179,1,3,4,0.08333333333333333,256,0.021822082984726876
NSW130,PSID187,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW130,PSID231,3,3,1,0.3333333333333333,256,0.021822082984726876
NSW111,PSID253,1,3,28,0.011904761904761904,256,0.021822082984726876
NSW111,PSID345,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW111,PSID277,3,3,12,0.027777777777777776,256,0.021822082984726876
NSW22,PSID410,1,3,7,0.047619047619047616,256,0.021822082984726876
NSW22,PSID220,2,3,11,0.030303030303030304,256,0.021822082984726876
NSW22,PSID371,3,3,2,0.16666666666666666,256,0.021822082984726876
NSW10,PSID393,1,3,1,0.3333333333333333,256,0.021822082984726876
NSW10,PSID344,2,3,1,0.3333333333333333,256,0.021822082984726876
NSW10,PSID418,3,3,1,0.3333333333333333,256,0.021822082984726876
NSW116,PSID322,1,3,1,0.3333333333333333,256,0.021822082984726876
NSW116,PSID229,2,3,1,0.3333333333333333,256,0.021822082984726876
NSW116,PSID316,3,3,1,0.3333333333333333,256,0.021822082984726876
NSW147,PSID140,1,3,11,0.030303030303030304,256,0.021822082984726876
NSW147,PSID157,2,3,3,0.1111111111111111,256,0.021822082984726876
NSW147,PSID173,3,3,9,0.037037037037037035,256,0.021822082984726876
NSW80,PSID388,1,3,12,0.027777777777777776,256,0.021822082984726876
NSW80,PSID277,2,3,12,0.027777777777777776,256,0.021822082984726876
NSW80,PSID389,3,3,6,0.05555555555555555,256,0.021822082984726876
NSW45,PSID388,1,3,12,0.027777777777777776,256,0.021822082984726876
NSW45,PSID374,2,3,5,0.06666666666666667,256,0.021822082984726876
NSW45,PSID389,3,3,6,0.05555555555555555,256,0.021822082984726876
NSW98,PSID416,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW98,PSID399,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW98,PSID410,3,3,7,0.047619047619047616,256,0.021822082984726876
NSW72,PSID416,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW72,PSID399,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW72,PSID410,3,3,7,0.047619047619047616,256,0.021822082984726876
NSW1,PSID368,1,3,3,0.1111111111111111,256,0.021822082984726876
NSW1,PSID375,2,3,3,0.1111111111111111,256,0.021822082984726876
NSW1,PSID408,3,3,3,0.1111111111111111,256,0.021822082984726876
NSW81,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW81,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW81,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW74,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW74,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW74,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW54,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW54,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW54,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW35,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW35,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW35,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW121,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW121,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW121,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW107,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW107,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW107,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW84,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW84,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW84,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW70,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW70,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW70,PSID410,3,3,7,0.047619047619047616,256,0.021822082984726876
NSW20,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW20,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW20,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW17,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW17,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW17,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW3,PSID416,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW3,PSID399,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW3,PSID410,3,3,7,0.047619047619047616,256,0.021822082984726876
NSW131,PSID173,1,3,9,0.037037037037037035,256,0.021822082984726876
NSW131,PSID218,2,3,2,0.16666666666666666,256,0.021822082984726876
NSW131,PSID345,3,3,2,0.16666666666666666,256,0.021822082984726876
NSW75,PSID399,1,3,16,0.020833333333333332,256,0.021822082984726876
NSW75,PSID416,2,3,16,0.020833333333333332,256,0.021822082984726876
NSW75,PSID220,3,3,11,0.030303030303030304,256,0.021822082984726876
NSW86,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW86,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW86,PSID372,3,3,26,0.01282051282051282,256,0.021822082984726876
NSW79,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW79,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW79,PSID372,3,3,26,0.01282051282051282,256,0.021822082984726876
NSW5,PSID423,1,3,30,0.011111111111111112,256,0.021822082984726876
NSW5,PSID253,2,3,28,0.011904761904761904,256,0.021822082984726876
NSW5,PSID333,3,3,4,0.08333333333333333,256,0.021822082984726876
NSW155,PSID375,1,3,3,0.1111111111111111,256,0.021822082984726876
