id,match_id,match_round,treated_k,control_usage_count,pair_weight,bucket_num_input_patients,bucket_seconds
NSW180,PSID17,1,3,3,0.1111111111111111,24,0.0035844579979311675
NSW180,PSID31,2,3,2,0.16666666666666666,24,0.0035844579979311675
NSW180,PSID22,3,3,2,0.16666666666666666,24,0.0035844579979311675
NSW184,PSID15,1,3,2,0.16666666666666666,24,0.0035844579979311675
NSW184,PSID9,2,3,2,0.16666666666666666,24,0.0035844579979311675
NSW184,PSID17,3,3,3,0.1111111111111111,24,0.0035844579979311675
NSW167,PSID202,1,3,2,0.16666666666666666,24,0.0035844579979311675
NSW167,PSID114,2,3,2,0.16666666666666666,24,0.0035844579979311675
NSW167,PSID391,3,3,2,0.16666666666666666,24,0.0035844579979311675
NSW185,PSID15,1,3,2,0.16666666666666666,24,0.0035844579979311675
NSW185,PSID17,2,3,3,0.1111111111111111,24,0.0035844579979311675
NSW185,PSID9,3,3,2,0.16666666666666666,24,0.0035844579979311675
NSW177,PSID95,1,3,1,0.3333333333333333,24,0.0035844579979311675
NSW177,PSID31,2,3,2,0.16666666666666666,24,0.0035844579979311675
NSW177,PSID22,3,3,2,0.16666666666666666,24,0.0035844579979311675
NSW44,PSID391,1,3,2,0.16666666666666666,24,0.0035844579979311675
NSW44,PSID202,2,3,2,0.16666666666666666,24,0.0035844579979311675
NSW44,PSID114,3,3,2,0.16666666666666666,24,0.0035844579979311675
NSW137,PSID235,1,3,1,0.3333333333333333,155,0.006512915977509692
NSW137,PSID212,2,3,1,0.3333333333333333,155,0.006512915977509692
NSW137,PSID283,3,3,1,0.3333333333333333,155,0.006512915977509692
NSW39,PSID375,1,3,14,0.023809523809523808,155,0.006512915977509692
NSW39,PSID408,2,3,15,0.022222222222222223,155,0.006512915977509692
NSW39,PSID428,3,3,3,0.1111111111111111,155,0.006512915977509692
NSW172,PSID97,1,3,1,0.3333333333333333,155,0.006512915977509692
NSW172,PSID41,2,3,2,0.16666666666666666,155,0.006512915977509692
NSW172,PSID46,3,3,2,0.16666666666666666,155,0.006512915977509692
NSW69,PSID354,1,3,2,0.16666666666666666,155,0.006512915977509692
NSW69,PSID428,2,3,3,0.1111111111111111,155,0.006512915977509692
NSW69,PSID238,3,3,1,0.3333333333333333,155,0.006512915977509692
NSW115,PSID260,1,3,2,0.16666666666666666,155,0.006512915977509692
NSW115,PSID331,2,3,3,0.1111111111111111,155,0.006512915977509692
NSW115,PSID293,3,3,3,0.1111111111111111,155,0.006512915977509692
NSW181,PSID59,1,3,1,0.3333333333333333,155,0.006512915977509692
NSW181,PSID41,2,3,2,0.16666666666666666,155,0.006512915977509692
NSW181,PSID46,3,3,2,0.16666666666666666,155,0.006512915977509692
NSW149,PSID368,1,3,15,0.022222222222222223,155,0.006512915977509692
NSW149,PSID375,2,3,14,0.023809523809523808,155,0.006512915977509692
NSW149,PSID408,3,3,15,0.022222222222222223,155,0.006512915977509692
NSW110,PSID368,1,3,15,0.022222222222222223,155,0.006512915977509692
NSW110,PSID308,2,3,2,0.16666666666666666,155,0.006512915977509692
NSW110,PSID408,3,3,15,0.022222222222222223,155,0.006512915977509692
NSW169,PSID368,1,3,15,0.022222222222222223,155,0.006512915977509692
NSW169,PSID27,2,3,2,0.16666666666666666,155,0.006512915977509692
NSW169,PSID98,3,3,1,0.3333333333333333,155,0.006512915977509692
NSW126,PSID368,1,3,15,0.022222222222222223,155,0.006512915977509692
NSW126,PSID408,2,3,15,0.022222222222222223,155,0.006512915977509692
NSW126,PSID375,3,3,14,0.023809523809523808,155,0.006512915977509692
NSW58,PSID354,1,3,2,0.16666666666666666,155,0.006512915977509692
