id,treat,age,educ,race,married,nodegree,re74,re75,re78,subclass,weight,is_treated
NSW1,1,37,11,black,1,1,0.0,0.0,9930.046,NSW1,1.0,True
PSID368,0,40,11,black,1,1,0.0,0.0,0.0,NSW1,1.0,False
NSW10,1,33,12,white,1,0,0.0,0.0,12418.07,NSW10,1.0,True
PSID393,0,38,12,white,1,0,0.0,0.0,18756.78,NSW10,1.0,False
NSW100,1,31,9,hispan,0,1,0.0,0.0,26817.6,NSW100,1.0,True
PSID199,0,29,10,hispan,0,1,3732.403,1323.048,6694.101,NSW100,1.0,False
NSW102,1,26,10,black,0,1,0.0,0.0,9265.788,NSW102,1.0,True
PSID423,0,27,10,black,0,1,0.0,0.0,7543.794,NSW102,1.0,False
NSW104,1,18,11,black,0,1,0.0,0.0,4814.627,NSW104,1.0,True
PSID374,0,18,11,black,0,1,0.0,0.0,0.0,NSW104,1.0,False
NSW105,1,19,11,black,0,1,0.0,0.0,7458.105,NSW105,1.0,True
PSID388,0,19,11,black,0,1,0.0,0.0,16485.52,NSW105,1.0,False
NSW106,1,43,9,black,0,1,0.0,0.0,0.0,NSW106,1.0,True
PSID387,0,55,4,black,0,1,0.0,0.0,0.0,NSW106,1.0,False
NSW108,1,17,9,black,0,1,0.0,0.0,1953.268,NSW108,1.0,True
PSID266,0,17,9,black,0,1,0.0,297.1935,54.67588,NSW108,1.0,False
NSW11,1,19,9,black,0,1,0.0,0.0,8173.908,NSW11,1.0,True
PSID355,0,19,9,black,0,1,384.0163,0.0,0.0,NSW11,1.0,False
NSW110,1,26,10,black,1,1,2027.999,0.0,0.0,NSW110,1.0,True
PSID308,0,22,11,black,1,1,9049.853,0.0,9088.018,NSW110,1.0,False
NSW111,1,20,9,black,0,1,6083.994,0.0,8881.665,NSW111,1.0,True
PSID253,0,21,9,black,0,1,1030.574,470.8548,1223.558,NSW111,1.0,False
NSW112,1,17,9,hispan,0,1,445.1704,74.34345,6210.67,NSW112,1.0,True
PSID366,0,16,9,hispan,0,1,0.0,0.0,0.0,NSW112,1.0,False
NSW113,1,20,12,black,0,0,989.2678,165.2077,0.0,NSW113,1.0,True
PSID337,0,19,12,black,0,0,1655.58,0.0,0.0,NSW113,1.0,False
NSW115,1,27,12,black,1,0,3670.872,334.0493,0.0,NSW115,1.0,True
PSID260,0,24,12,black,1,0,4232.016,320.4677,1273.8,NSW115,1.0,False
NSW116,1,21,12,white,0,0,3670.872,334.0494,12558.02,NSW116,1.0,True
PSID229,0,19,12,white,0,0,2425.572,861.1452,2587.499,NSW116,1.0,False
NSW119,1,19,10,black,0,1,0.0,385.2741,8124.715,NSW119,1.0,True
PSID367,0,18,10,black,0,1,0.0,0.0,2281.61,NSW119,1.0,False
