id,match_id,bucket_num_input_patients,bucket_seconds
P0815,P2378,5,0.011508915980812162
P0443,P9424,2,0.0013078750052955002
P0065,P1510,2,0.001171707990579307
P0001,P5734,2,0.0010787500068545341
P0537,P10664,3,0.0011962089920416474
P0867,P1050,2,0.0010978749778587371
P0553,P1933,4,0.0010826250072568655
P0495,P8927,2,0.0010465409723110497
P0650,P6839,4,0.0011367500119376928
P0630,P5632,2,0.0014143750013317913
P0778,P2624,2,0.0012157500023022294
P0490,P10978,3,0.001195208024000749
P0374,P5646,2,0.001091292011551559
P0862,P8540,2,0.0011211250093765557
P0528,P2393,2,0.0010878750181291252
P0811,P10039,3,0.0010896250023506582
P0643,P10671,5,0.0015854999946895987
P0075,P4661,2,0.001877500006230548
P0215,P9464,3,0.0017868329887278378
P0856,P8888,2,0.0014875839988235384
P0385,P9567,2,0.0021617089805658907
P0020,P7591,3,0.0015633330040145665
P0834,P4827,2,0.0013222499983385205
P0993,P7089,2,0.001248082990059629
P0672,P3656,2,0.0014682500041089952
P0470,P2899,3,0.0012814999790862203
P0380,P4789,2,0.0011616249976214021
P0060,P10446,2,0.001125042006606236
P0652,P2581,2,0.0012886249751318246
P0866,P4846,2,0.001629207981750369
P0670,P6083,2,0.0012638750195037574
P0063,P8983,2,0.0012687920243479311
P0444,P4149,3,0.001393582992022857
P0052,P7387,2,0.0011254169803578407
P0430,P7854,3,0.0010964999964926392
P0667,P2462,2,0.001055500004440546
P0547,P3085,6,0.0010803329932969064
P0292,P4005,2,0.0012923750036861748
P0422,P1732,4,0.00143012500484474
P0841,P5197,2,0.0012366249866317958
P0975,P6409,3,0.0013868329988326877
P0320,P2286,2,0.0012744999839924276
P0436,P4581,2,0.0014107919996604323
P0536,P10083,2,0.0016185000131372362
P0204,P4146,2,0.0017053329793270677
P0959,P3942,2,0.0012717499921564013
P0613,P3776,3,0.0012066669878549874
P0800,P2120,2,0.00184379200800322
P0226,P1427,2,0.0014497499796561897
P0286,P10333,2,0.0012125000066589564
P0713,P2212,2,0.0012611249985639006
P0874,P8259,2,0.0012385410082060844
P0022,P7966,3,0.0012777090014424175
P0407,P1364,2,0.001544209022540599
P0070,P2206,3,0.0014542080170940608
P0486,P3724,3,0.0013302919978741556
P0574,P1850,6,0.0027456250099930912
P0461,P6039,2,0.001861875003669411
P0981,P9139,3,0.0011912079935427755
P0520,P8010,2,0.0010852499981410801
P0830,P8581,3,0.0011177919805049896
P0909,P10200,2,0.0010618749947752804
P0350,P1389,3,0.0015509579970967025
P0489,P10719,2,0.0015489580109715462
P0545,P8535,2,0.0012075830018147826
P0269,P5343,2,0.0016646250151097775
P0602,P8038,5,0.0013057500182185322
P0988,P3571,2,0.0013962910161353648
P0809,P2635,2,0.0011352500005159527
P0169,P1055,4,0.0011463339906185865
P0349,P2839,2,0.0011397089983802289
P0568,P8959,6,0.0013274170050863177
P0376,P9422,3,0.0011675829882733524
P0499,P9906,3,0.0012062079913448542
P0182,P6638,4,0.0011577499972190708
P0642,P8945,2,0.0014712089905515313
P0027,P9942,2,0.0011807090195361525
P0641,P1938,4,0.0011727499950211495
P0357,P10773,6,0.0011935409856960177
P0172,P8527,2,0.0012326669821050018
P0935,P2200,2,0.0011335409944877028
P0966,P1873,2,0.0013688330072909594
P0323,P1610,3,0.0012451249931473285
P0011,P10647,3,0.0011660839954856783
P0860,P1189,2,0.0010887499956879765
P0305,P8709,2,0.0010695419914554805
P0258,P2688,3,0.0010857500019483268
P0960,P10482,3,0.0017828749842010438
P0895,P2902,4,0.0012109579984098673
P0669,P3568,3,0.0011721250193659216
P0793,P4233,4,0.001148832991020754
P0423,P3954,3,0.0010929580021183938
P0592,P10467,3,0.0011042499972973019
P0284,P9473,2,0.001111124991439283
P0949,P2164,2,0.0010667919996194541
P0843,P1975,2,0.001069999998435378
P0810,P8437,2,0.0010832079860847443
P0511,P7092,3,0.0010822080075740814
P0686,P2019,2,0.0010730829962994903
P0931,P2455,2,0.0010895000013988465
P0002,P7881,2,0.001047875004587695
P0516,P2421,3,0.0010955000179819763
P0717,P7323,2,0.0010697499965317547
P0853,P5479,2,0.0010346669878344983
P0779,P1651,2,0.0010706250031944364
P0625,P5391,5,0.0011049169988837093
P0740,P1329,3,0.0010625420254655182
P0165,P4548,2,0.0011309999972581863
P0550,P1849,3,0.0010666669986676425
P0698,P5141,3,0.0011025410203728825
P0534,P7271,2,0.001044250006088987
P0782,P1643,6,0.001098500011721626
P0514,P10512,3,0.0010794580157380551
P0474,P9899,3,0.0010569999867584556
P0328,P10527,2,0.0010817080037668347
P0754,P8505,3,0.001069542020559311
P0865,P6778,2,0.0010878340108320117
P0299,P4021,2,0.001047458004904911
P0232,P10923,2,0.0010734999959822744
P0995,P3580,2,0.001099292014259845
P0427,P5455,3,0.0011148329940624535
P0327,P10898,3,0.0011280000035185367
P0369,P2308,2,0.0010563329851720482
P0829,P9111,2,0.0010322079760953784
P0651,P2158,3,0.0010819589952006936
P0785,P4486,2,0.001048916019499302
P0397,P7247,2,0.0011516249796841294
P0114,P7196,2,0.0010596249776426703
P0982,P10118,2,0.0010208329767920077
P0504,P9826,2,0.0010496670147404075
P0760,P3678,2,0.0010899159824475646
P0640,P2822,3,0.001092457998311147
P0826,P3073,3,0.001060874987160787
P0240,P1211,2,0.0010296670079696923
P0290,P2912,3,0.0012289999867789447
P0624,P2259,5,0.001205375010613352
P0803,P4874,2,0.0011020420060958713
P0445,P6860,2,0.001065666991053149
P0770,P4433,5,0.0010787919745780528
P0618,P1628,2,0.001059749978594482
P0272,P2714,3,0.0010946250113192946
P0108,P8807,2,0.001055416010785848
P0330,P1841,2,0.0010372080141678452
P0274,P1419,2,0.001039124996168539
P0493,P10741,2,0.0010723329905886203
P0212,P10324,2,0.0010284580057486892
P0711,P6897,2,0.0010413330164738
P0141,P8973,2,0.0010420409962534904
P0978,P10195,2,0.0010475830058567226
P0236,P5689,2,0.001058666006429121
P0989,P8440,2,0.001041415991494432
P0871,P9968,2,0.0010336250124964863
P0531,P6166,2,0.0010316669940948486
P0533,P7502,3,0.0010574170155450702
P0086,P9785,2,0.0010614999919198453
P0926,P3646,3,0.0010959999926853925
P0162,P4385,2,0.0010654579964466393
P0219,P6763,2,0.0010287080076523125
P0939,P4988,2,0.0010314160026609898
P0780,P2746,2,0.0010518339986447245
P0116,P6943,2,0.0010525000107008964
P0100,P9190,2,0.001021499978378415
P0517,P5606,2,0.001025042001856491
P0399,P2745,2,0.0010528750135563314
P0612,P9222,2,0.0010567920107860118
P0043,P9113,3,0.0010733749950304627
P0565,P5517,3,0.0010521250078454614
P0649,P2696,4,0.0013115420006215572
P0589,P6196,2,0.0011327500105835497
P0789,P8050,2,0.0010817919974215329
P0006,P7454,2,0.001066750002792105
P0483,P9560,3,0.001079749985365197
P0371,P5784,2,0.0010867920063901693
P0184,P8818,5,0.001068208017386496
P0009,P3526,2,0.0010293329833075404
P0123,P4540,5,0.0012963329791091383
P0535,P6054,5,0.0012963329791091383
P0098,P10814,2,0.0011148749908898026
P0210,P9458,2,0.0010509589919820428
P0492,P5727,2,0.0010827920050360262
P0953,P10070,2,0.001031291001709178
P0198,P6172,4,0.0010575420164968818
P0073,P6579,3,0.0010493329900782555
P0955,P7116,2,0.001024791010422632
P0973,P8229,2,0.0010312079975847155
P0131,P3991,2,0.0010398330050520599
P0691,P6745,2,0.0010272919898852706
P0598,P8003,2,0.0010207919985987246
P0067,P1474,2,0.0010194579954259098
P0088,P5550,3,0.0010555839980952442
P0852,P6898,3,0.0010627919982653111
P0987,P5624,2,0.0010670420015230775
P0059,P2583,2,0.001025375007884577
P0160,P10393,2,0.0010437500022817403
P0690,P8012,2,0.0010210410109721124
P0410,P4768,3,0.0010468749969732016
P0645,P8694,3,0.0010444170038681477
P0771,P5089,2,0.0010244579752907157
P0648,P7031,3,0.0010430419933982193
P0946,P1486,2,0.001019334013108164
P0164,P1516,3,0.001055833010468632
P0044,P8411,4,0.0012580420006997883
P0201,P5528,4,0.0012580420006997883
P0265,P2193,2,0.006562166003277525
P0154,P5426,4,0.001471666997531429
P0788,P5637,3,0.0011563339794520289
P0990,P6375,3,0.0014588330232072622
P0942,P3687,2,0.001210707996506244
P0845,P3144,2,0.0010949999850708991
P0412,P5228,3,0.0011879170197062194
P0951,P2649,2,0.0010586669959593564
P0488,P2770,3,0.0013909580011386424
P0149,P9703,3,0.001598333998117596
P0346,P5612,5,0.001237916003447026
P0314,P10271,3,0.001144084002589807
P0703,P6877,2,0.0012168330140411854
P0112,P10399,2,0.0010971669980790466
P0392,P4448,2,0.0010991250164806843
P0456,P10214,3,0.00113366698496975
P0120,P5747,2,0.0010604170092847198
P0446,P3821,3,0.001081166003132239
P0902,P10871,2,0.0010378329898230731
P0943,P7405,2,0.00104674999602139
P0109,P4109,2,0.0011280000035185367
P0291,P1007,2,0.0010982919775415212
P0792,P10459,2,0.00103704200591892
P0746,P2303,3,0.0010592910111881793
P0593,P1005,2,0.001134707999881357
P0985,P10562,4,0.0011074579961132258
P0277,P3327,2,0.0010477080068085343
P0085,P4403,2,0.0010396249999757856
P0188,P1920,2,0.0010391670220997185
P0758,P4841,3,0.0010899999761022627
P0093,P8861,2,0.001112250000005588
P0831,P8115,2,0.001054791995557025
P0887,P10533,3,0.0010830420069396496
P0071,P3695,3,0.0010521250078454614
P0151,P4304,2,0.001108290976844728
P0586,P10725,2,0.0010413340060040355
P0743,P8274,2,0.001022500015096739
P0313,P9635,2,0.0010701669962145388
P0600,P4508,3,0.0010471660061739385
P0193,P10692,2,0.0010440839978400618
P0614,P1785,3,0.0011300420155748725
P0037,P2695,3,0.0010567919816821814
P0512,P3001,3,0.0010472499998286366
P0157,P1432,2,0.0010514589957892895
P0344,P6825,3,0.001126709015807137
P0819,P10178,4,0.0010504160018172115
P0688,P3396,2,0.001033790991641581
P0658,P4176,2,0.0010215830116067082
P0980,P7104,2,0.0010505839891266078
P0142,P5170,2,0.0010283330047968775
P0381,P10430,2,0.0010465419909451157
P0605,P10339,3,0.0010484170052222908
P0506,P2001,2,0.0010239999974146485
P0726,P4426,2,0.0010370830132160336
P0103,P1910,2,0.0010195419890806079
P0221,P8113,3,0.001054041989846155
P0016,P3191,3,0.0010430839902255684
P0200,P4647,2,0.0010200830001849681
P0057,P5340,2,0.001044667005771771
P0881,P5808,2,0.0010668340255506337
P0365,P5338,4,0.0010619169916026294
P0268,P8476,2,0.0010296660184394568
P0969,P1396,2,0.0010303339804522693
P0857,P4983,3,0.0010883749928325415
P0879,P7319,2,0.00101816700771451
P0921,P3548,3,0.0010521250078454614
P0421,P3019,4,0.0010961250227410346
P0563,P1596,3,0.0010448339744471014
P0173,P8168,2,0.0010188329906668514
P0228,P10646,2,0.001127166993683204
P0696,P2825,3,0.001122749992646277
P0706,P7572,2,0.0010592500038910657
P0159,P7684,2,0.0010953750170301646
P0139,P6694,3,0.0010877499880734831
P0532,P6336,2,0.0010167500004172325
P0974,P3832,3,0.0010450419795233756
P0892,P9995,3,0.0010673750075511634
P0607,P2341,2,0.0010420829930808395
P0682,P8471,3,0.0010980420047417283
P0135,P3110,5,0.001062416995409876
P0127,P9751,5,0.0010865000076591969
P0554,P8620,2,0.001053999993018806
P0428,P7474,2,0.0011209590011276305
P0294,P10858,2,0.0010462079953867942
P0137,P8273,4,0.0010555830085650086
P0439,P6660,2,0.0010477500036358833
P0464,P10885,2,0.0010610000172164291
P0092,P3567,2,0.0010278330009896308
P0501,P1167,3,0.0010687090107239783
P0774,P6909,2,0.0010267499892506748
P0582,P2754,2,0.0010497909970581532
P0220,P7999,3,0.0011072499910369515
P0095,P7254,2,0.0010255829838570207
P0315,P4319,2,0.001070750004146248
P0932,P3939,2,0.0010921659995801747
P0655,P5744,2,0.0010306669864803553
