id,match_id,bucket_num_input_patients,bucket_seconds
P0234,P10660,16,0.0026752080011647195
P0065,P2239,16,0.0026752080011647195
P0719,P5381,17,0.0018346669967286289
P0814,P5500,17,0.0018346669967286289
P0593,P10963,17,0.0018346669967286289
P0048,P8915,3,0.01122212500195019
P0024,P5558,2,0.0011504169960971922
P0537,P6647,5,0.0011369579879101366
P0346,P2811,7,0.0011112499923910946
P0086,P7349,23,0.001280290976865217
P0482,P9309,7,0.0011396250047255307
P0015,P4415,2,0.0010580410016700625
P0958,P6178,2,0.0010631670011207461
P0103,P9084,5,0.0010779169970192015
P0762,P8375,14,0.0015077500138431787
P0946,P6249,14,0.0015077500138431787
P0403,P4036,14,0.0015077500138431787
P0716,P4860,3,0.001060250011505559
P0749,P3724,19,0.0018560000171419233
P0079,P8539,19,0.0018560000171419233
P0444,P6250,19,0.0018560000171419233
P0915,P4473,19,0.0018560000171419233
P0012,P5799,6,0.0012996250006835908
P0394,P3120,6,0.0012996250006835908
P0727,P10129,4,0.0011144159943796694
P0959,P1814,14,0.0013893340073991567
P0489,P4679,14,0.0013893340073991567
P0395,P6748,6,0.0010618329979479313
P0252,P7570,6,0.0012664160167332739
P0034,P4138,6,0.0012664160167332739
P0763,P4191,7,0.0010552090243436396
P0096,P1411,2,0.001051833009114489
P0155,P4899,4,0.0010665830050129443
P0929,P1900,3,0.0010645839793141931
P0135,P9046,11,0.0012649160053115338
P0071,P6258,11,0.0012649160053115338
P0975,P6409,18,0.0015800830151420087
P0336,P6398,18,0.0015800830151420087
P0299,P2635,18,0.0015800830151420087
P0294,P8668,5,0.0010881249909289181
P0939,P6808,10,0.0012656670005526394
P0709,P8397,10,0.0012656670005526394
P0553,P8328,20,0.0011678749870043248
P0753,P4544,5,0.0012910000223200768
P0710,P4023,5,0.0012910000223200768
P0337,P2876,3,0.001069999998435378
P0449,P5392,7,0.0010581249953247607
P0903,P9456,9,0.0010548749996814877
P0117,P5905,2,0.0015689589781686664
P0672,P9037,5,0.0012415839883033186
P0059,P10158,10,0.0011441250098869205
P0994,P6268,14,0.0014678750012535602
P0292,P1446,14,0.0014678750012535602
P0093,P6450,2,0.0011322920036036521
P0492,P2010,11,0.0011237500002607703
P0538,P10050,21,0.0014119160186965019
P0231,P3418,21,0.0014119160186965019
P0533,P6040,13,0.0015343339764513075
P0997,P8747,13,0.0015343339764513075
P0776,P7173,13,0.0015343339764513075
P0866,P3085,12,0.0012277920031920075
P0186,P2391,4,0.0010836249857675284
P0237,P6491,16,0.001397582993377
P0839,P3916,16,0.001397582993377
P0291,P4870,24,0.0011578340199775994
P0479,P3195,11,0.0014858329959679395
P0725,P6817,11,0.0014858329959679395
P0357,P4486,11,0.0014858329959679395
P0828,P2248,7,0.0010649999894667417
P0816,P1182,7,0.0010457499884068966
P0613,P4661,19,0.0013719580019824207
P0151,P6500,19,0.0013719580019824207
P0248,P6352,5,0.0010690409981179982
P0020,P6045,23,0.00159087500651367
P0829,P3747,23,0.00159087500651367
P0706,P3576,23,0.00159087500651367
P0205,P2368,10,0.0012705419794656336
P0216,P10500,10,0.0012705419794656336
P0232,P6197,22,0.0013822499895468354
P0197,P5434,22,0.0013822499895468354
P0609,P7727,7,0.0010789170046336949
P0288,P2913,6,0.0010559579823166132
P0561,P8035,2,0.0010420829930808395
P0385,P1534,7,0.0010685420129448175
P0239,P6494,22,0.0011612919915933162
P0905,P9369,5,0.0010588750010356307
P0032,P2963,10,0.0013660420081578195
P0992,P4526,10,0.0013660420081578195
P0798,P3133,3,0.0013392090040724725
P0040,P8913,20,0.0012667910195887089
P0849,P4753,16,0.0012230419961269945
P0698,P8308,6,0.001611417013918981
P0564,P4536,9,0.0015423750155605376
P0821,P2729,7,0.00122916599502787
P0990,P4689,6,0.001210707996506244
P0067,P7672,7,0.0011183340102434158
P0945,P9129,4,0.0010816669964697212
P0204,P7334,4,0.0011019590019714087
P0419,P10910,5,0.0011066250153817236
P0393,P10064,3,0.0010716670076362789
P0073,P1000,17,0.0013867499947082251
P0414,P10446,3,0.0011382090160623193
P0153,P8797,2,0.001089416997274384
P0200,P4971,10,0.0010726250184234232
P0439,P7521,9,0.0010705000022426248
P0137,P1499,23,0.0014517919917125255
P0552,P9765,23,0.0014517919917125255
P0019,P10583,3,0.0010693749936763197
P0914,P4418,9,0.0013065829989500344
P0167,P2660,9,0.0013065829989500344
P0943,P7559,3,0.001057249988662079
P0767,P8135,2,0.00106266702641733
P0263,P7164,5,0.0010689159971661866
P0738,P10116,3,0.001049000013154
P0739,P6616,10,0.0011334579903632402
P0347,P10630,23,0.001208916975883767
P0423,P7091,17,0.0011667909857351333
P0052,P6224,22,0.001143125002272427
P0666,P10534,6,0.0010651659977156669
P0142,P8249,7,0.0011057079827878624
P0704,P4073,3,0.0010495000169612467
P0130,P10659,2,0.0010477080068085343
P0610,P5126,4,0.0010496670147404075
P0254,P10767,22,0.0014146250032354146
P0097,P8116,22,0.0014146250032354146
P0872,P7841,2,0.0010584999981801957
P0244,P5253,5,0.0010455840092618018
P0732,P7568,5,0.0010516249749343842
P0057,P8187,11,0.0014820409996900707
P0379,P9001,11,0.0014820409996900707
P0875,P1731,11,0.0014820409996900707
P0435,P1798,2,0.0011340420169290155
P0550,P3650,7,0.00126937500317581
P0826,P5533,7,0.00126937500317581
P0029,P1505,2,0.0010328330099582672
P0577,P2412,12,0.0010637920058798045
P0100,P2966,2,0.0010185830178670585
P0658,P5420,4,0.0010525829857215285
P0002,P1782,9,0.0010601670073810965
P0415,P3434,2,0.0010357080027461052
P0033,P5612,4,0.0010603329865261912
P0409,P6160,4,0.0010672500065993518
P0976,P6562,15,0.001608083985047415
P0381,P10580,15,0.001608083985047415
P0633,P10830,15,0.001608083985047415
P0689,P1084,15,0.0011756669846363366
P0630,P5860,2,0.0010502080258447677
P0270,P7888,8,0.001071334001608193
P0676,P6112,10,0.0010475420276634395
P0180,P1545,20,0.0015927919885143638
P0774,P8719,20,0.0015927919885143638
P0985,P10497,20,0.0015927919885143638
P0110,P5917,2,0.0010253340005874634
P0941,P1040,12,0.0010458750184625387
P0784,P1089,13,0.0012896659900434315
P0380,P4109,13,0.0012896659900434315
P0459,P6445,2,0.0010200830001849681
P0978,P8105,24,0.0015837500104680657
P0769,P2034,24,0.0015837500104680657
P0300,P5526,24,0.0015837500104680657
P0846,P7003,12,0.0013314579846337438
P0637,P8827,12,0.0013314579846337438
P0466,P6056,3,0.0011262910265941173
P0373,P7970,32,0.0013825419882778078
P0108,P10691,32,0.0013825419882778078
P0715,P9836,13,0.0012784999853465706
P0371,P8969,13,0.0012784999853465706
P0490,P7684,3,0.0010464160004630685
P0148,P3931,6,0.0010553750034887344
P0822,P8695,2,0.0010254580120090395
P0886,P8251,10,0.0010494170128367841
P0686,P4434,4,0.0010502920194994658
P0650,P10998,16,0.0012059160217177123
P0586,P10586,14,0.0013558339851442724
P0215,P3003,14,0.0013558339851442724
P0680,P9758,2,0.0011164169991388917
P0349,P4884,3,0.0010527500126045197
P0789,P3429,16,0.001170582982013002
P0578,P4009,21,0.0013622499827761203
P0591,P8060,21,0.0013622499827761203
P0858,P3821,5,0.0011294580181129277
P0091,P10480,3,0.0010632920020725578
P0293,P9748,27,0.0011707920057233423
P0145,P2003,7,0.0010560830123722553
P0494,P5532,2,0.001033750013448298
